<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEXO.V,D,20180522,000000,0.2105,0.2105,0.1599,0.1974,0,0
NEXO.V,D,20180523,000000,0.1974,0.1974,0.1531,0.1719,0,0
NEXO.V,D,20180524,000000,0.1719,0.1934,0.16,0.1881,0,0
NEXO.V,D,20180525,000000,0.1881,0.2011,0.1757,0.1869,0,0
NEXO.V,D,20180526,000000,0.1869,0.2184,0.1831,0.2015,0,0
NEXO.V,D,20180527,000000,0.2015,0.2282,0.1944,0.1944,0,0
NEXO.V,D,20180528,000000,0.1944,0.1944,0.1694,0.1808,0,0
NEXO.V,D,20180529,000000,0.1808,0.2033,0.1808,0.1891,0,0
NEXO.V,D,20180530,000000,0.1891,0.2166,0.1752,0.193,0,0
NEXO.V,D,20180531,000000,0.193,0.2011,0.1838,0.1913,0,0
NEXO.V,D,20180601,000000,0.1913,0.2011,0.1732,0.1822,0,0
NEXO.V,D,20180602,000000,0.1822,0.1918,0.1743,0.1842,0,0
NEXO.V,D,20180603,000000,0.1842,0.1992,0.1637,0.1907,0,0
NEXO.V,D,20180604,000000,0.1907,0.2326,0.1741,0.1928,0,0
NEXO.V,D,20180605,000000,0.1928,0.209,0.164,0.1869,0,0
NEXO.V,D,20180606,000000,0.1869,0.19,0.1724,0.1785,0,0
NEXO.V,D,20180607,000000,0.1785,0.1817,0.1679,0.1717,0,0
NEXO.V,D,20180608,000000,0.1717,0.1754,0.1602,0.1693,0,0
NEXO.V,D,20180609,000000,0.1693,0.1698,0.1578,0.1638,0,0
NEXO.V,D,20180610,000000,0.1638,0.1638,0.1199,0.1348,0,0
NEXO.V,D,20180611,000000,0.1348,0.1384,0.1254,0.1322,0,0
NEXO.V,D,20180612,000000,0.1322,0.1322,0.1167,0.1193,0,0
NEXO.V,D,20180613,000000,0.1193,0.1199,0.101,0.1098,0,0
NEXO.V,D,20180614,000000,0.1098,0.1408,0.1098,0.1329,0,0
NEXO.V,D,20180615,000000,0.1329,0.1329,0.119,0.1215,0,0
NEXO.V,D,20180616,000000,0.1215,0.1327,0.1177,0.1307,0,0
NEXO.V,D,20180617,000000,0.1307,0.1414,0.1279,0.1317,0,0
NEXO.V,D,20180618,000000,0.1317,0.1383,0.1209,0.1249,0,0
NEXO.V,D,20180619,000000,0.1249,0.1335,0.122,0.122,0,0
NEXO.V,D,20180620,000000,0.122,0.1285,0.1204,0.1271,0,0
NEXO.V,D,20180621,000000,0.1271,0.1297,0.1028,0.1203,0,0
NEXO.V,D,20180622,000000,0.1203,0.1203,0.09319,0.1065,0,0
NEXO.V,D,20180623,000000,0.1065,0.1184,0.103,0.1091,0,0
NEXO.V,D,20180624,000000,0.1091,0.1115,0.09668,0.1053,0,0
NEXO.V,D,20180625,000000,0.1053,0.1659,0.09954,0.1158,0,0
NEXO.V,D,20180626,000000,0.1158,0.1158,0.09498,0.1035,0,0
NEXO.V,D,20180627,000000,0.1036,0.1081,0.1007,0.1081,0,0
NEXO.V,D,20180628,000000,0.1081,0.1081,0.09746,0.1027,0,0
NEXO.V,D,20180629,000000,0.1027,0.1092,0.1027,0.1073,0,0
NEXO.V,D,20180630,000000,0.1073,0.1124,0.1073,0.1124,0,0
NEXO.V,D,20180701,000000,0.1124,0.1173,0.1071,0.1103,0,0
NEXO.V,D,20180702,000000,0.1104,0.1303,0.1104,0.1303,0,0
NEXO.V,D,20180703,000000,0.1303,0.1367,0.1139,0.1198,0,0
NEXO.V,D,20180704,000000,0.1198,0.1232,0.1127,0.1226,0,0
NEXO.V,D,20180705,000000,0.1226,0.1372,0.1124,0.1202,0,0
NEXO.V,D,20180706,000000,0.1202,0.1248,0.1162,0.1208,0,0
NEXO.V,D,20180707,000000,0.1208,0.1257,0.1156,0.1176,0,0
NEXO.V,D,20180708,000000,0.1176,0.1221,0.114,0.1147,0,0
NEXO.V,D,20180709,000000,0.1147,0.126,0.11,0.1107,0,0
NEXO.V,D,20180710,000000,0.1107,0.1179,0.07001,0.09902,0,0
NEXO.V,D,20180711,000000,0.09902,0.1061,0.08313,0.09528,0,0
NEXO.V,D,20180712,000000,0.09528,0.09818,0.08505,0.0913,0,0
NEXO.V,D,20180713,000000,0.0913,0.1121,0.08535,0.09781,0,0
NEXO.V,D,20180714,000000,0.0978,0.09905,0.08964,0.09654,0,0
NEXO.V,D,20180715,000000,0.09653,0.1006,0.09228,0.09546,0,0
NEXO.V,D,20180716,000000,0.09546,0.1038,0.09369,0.09369,0,0
NEXO.V,D,20180717,000000,0.09369,0.1106,0.08719,0.09671,0,0
NEXO.V,D,20180718,000000,0.09671,0.1085,0.08122,0.08639,0,0
NEXO.V,D,20180719,000000,0.08639,0.09123,0.083,0.09123,0,0
NEXO.V,D,20180720,000000,0.09122,0.09122,0.07627,0.08141,0,0
NEXO.V,D,20180721,000000,0.08141,0.08664,0.07776,0.0822,0,0
NEXO.V,D,20180722,000000,0.0822,0.08582,0.07399,0.07843,0,0
NEXO.V,D,20180723,000000,0.07843,0.08876,0.06637,0.06946,0,0
NEXO.V,D,20180724,000000,0.06946,0.07724,0.06717,0.0722,0,0
NEXO.V,D,20180725,000000,0.0722,0.0722,0.05801,0.06454,0,0
NEXO.V,D,20180726,000000,0.06455,0.07461,0.06191,0.06905,0,0
NEXO.V,D,20180727,000000,0.06985,0.0941,0.06955,0.08838,0,0
NEXO.V,D,20180728,000000,0.08838,0.09548,0.08478,0.09301,0,0
NEXO.V,D,20180729,000000,0.09301,0.1101,0.08874,0.1068,0,0
NEXO.V,D,20180730,000000,0.1068,0.1068,0.08748,0.0883,0,0
NEXO.V,D,20180731,000000,0.0883,0.0883,0.07271,0.07658,0,0
NEXO.V,D,20180801,000000,0.07659,0.08448,0.06469,0.0822,0,0
NEXO.V,D,20180802,000000,0.0822,0.09126,0.07014,0.07165,0,0
NEXO.V,D,20180803,000000,0.07165,0.08011,0.06973,0.07121,0,0
NEXO.V,D,20180804,000000,0.07121,0.07228,0.06667,0.06807,0,0
NEXO.V,D,20180805,000000,0.06807,0.07747,0.06807,0.07254,0,0
NEXO.V,D,20180806,000000,0.07254,0.07363,0.0646,0.06598,0,0
NEXO.V,D,20180807,000000,0.06598,0.06723,0.06253,0.0632,0,0
NEXO.V,D,20180808,000000,0.0632,0.0632,0.05594,0.05845,0,0
NEXO.V,D,20180809,000000,0.05845,0.06282,0.05845,0.06216,0,0
NEXO.V,D,20180810,000000,0.06216,0.06769,0.05784,0.05969,0,0
NEXO.V,D,20180811,000000,0.05968,0.09301,0.05056,0.05993,0,0
NEXO.V,D,20180812,000000,0.05993,0.06386,0.0588,0.06007,0,0
NEXO.V,D,20180813,000000,0.06006,0.06388,0.05449,0.05449,0,0
NEXO.V,D,20180814,000000,0.05449,0.06324,0.05084,0.05394,0,0
NEXO.V,D,20180815,000000,0.05394,0.06211,0.0527,0.05961,0,0
NEXO.V,D,20180816,000000,0.05961,0.06197,0.05438,0.05755,0,0
NEXO.V,D,20180817,000000,0.05755,0.06591,0.05755,0.06262,0,0
NEXO.V,D,20180818,000000,0.06262,0.07687,0.05829,0.06149,0,0
NEXO.V,D,20180819,000000,0.0615,0.07412,0.06047,0.06177,0,0
NEXO.V,D,20180820,000000,0.06177,0.06177,0.05455,0.05518,0,0
NEXO.V,D,20180821,000000,0.05518,0.06037,0.05323,0.05517,0,0
NEXO.V,D,20180822,000000,0.05517,0.05857,0.0522,0.0522,0,0
NEXO.V,D,20180823,000000,0.0522,0.05754,0.0522,0.05689,0,0
NEXO.V,D,20180824,000000,0.05689,0.06776,0.05689,0.06038,0,0
NEXO.V,D,20180825,000000,0.06038,0.07492,0.05805,0.06142,0,0
NEXO.V,D,20180826,000000,0.06142,0.07124,0.05981,0.0625,0,0
NEXO.V,D,20180827,000000,0.0625,0.06501,0.06086,0.06362,0,0
NEXO.V,D,20180828,000000,0.06363,0.06595,0.0617,0.06382,0,0
NEXO.V,D,20180829,000000,0.06382,0.06382,0.05994,0.06065,0,0
NEXO.V,D,20180830,000000,0.06135,0.06229,0.05879,0.06159,0,0
NEXO.V,D,20180831,000000,0.06159,0.06184,0.05973,0.06113,0,0
NEXO.V,D,20180901,000000,0.06113,0.06843,0.06113,0.06339,0,0
