<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT.V,D,20171122,000000,0.04789,0.04789,0.038,0.03973,0,0
SNT.V,D,20171123,000000,0.03973,0.03973,0.0301,0.0301,0,0
SNT.V,D,20171124,000000,0.0301,0.03798,0.0301,0.03798,0,0
SNT.V,D,20171125,000000,0.03798,0.03798,0.037,0.037,0,0
SNT.V,D,20171126,000000,0.037,0.037,0.0365,0.03699,0,0
SNT.V,D,20171127,000000,0.03699,0.03973,0.02714,0.02714,0,0
SNT.V,D,20171128,000000,0.02714,0.03999,0.02714,0.03999,0,0
SNT.V,D,20171129,000000,0.03999,0.0699,0.03999,0.0517,0,0
SNT.V,D,20171130,000000,0.0517,0.069,0.04,0.04,0,0
SNT.V,D,20171201,000000,0.04,0.07,0.04,0.07,0,0
SNT.V,D,20171202,000000,0.07,0.4398,0.05114,0.05114,0,0
SNT.V,D,20171203,000000,0.05114,0.125,0.05114,0.1199,0,0
SNT.V,D,20171204,000000,0.07999,0.08,0.07999,0.08,0,0
SNT.V,D,20171205,000000,0.08299,0.08299,0.075,0.08299,0,0
SNT.V,D,20171206,000000,0.08299,0.08299,0.068,0.078,0,0
SNT.V,D,20171207,000000,0.08297,0.083,0.063,0.063,0,0
SNT.V,D,20171208,000000,0.063,0.07001,0.06005,0.06005,0,0
SNT.V,D,20171209,000000,0.0513,0.08581,0.0513,0.05131,0,0
SNT.V,D,20171210,000000,0.05131,0.06,0.05131,0.06,0,0
SNT.V,D,20171211,000000,0.0728,0.0728,0.056,0.069,0,0
SNT.V,D,20171212,000000,0.069,0.0728,0.05706,0.05706,0,0
SNT.V,D,20171213,000000,0.05706,0.07994,0.05706,0.07978,0,0
SNT.V,D,20171214,000000,0.07972,0.07999,0.07972,0.07999,0,0
SNT.V,D,20171215,000000,0.09797,0.13,0.07,0.07213,0,0
SNT.V,D,20171216,000000,0.07213,0.1297,0.07213,0.12,0,0
SNT.V,D,20171217,000000,0.1999,0.1999,0.15,0.1698,0,0
SNT.V,D,20171218,000000,0.1698,0.1995,0.1698,0.1995,0,0
SNT.V,D,20171219,000000,0.22,0.2399,0.18,0.19,0,0
SNT.V,D,20171220,000000,0.19,0.24,0.18,0.185,0,0
SNT.V,D,20171221,000000,0.185,0.239,0.183,0.1988,0,0
SNT.V,D,20171222,000000,0.1988,0.1988,0.125,0.18,0,0
SNT.V,D,20171223,000000,0.1377,0.1835,0.1377,0.158,0,0
SNT.V,D,20171224,000000,0.158,0.158,0.138,0.138,0,0
SNT.V,D,20171225,000000,0.138,0.176,0.138,0.176,0,0
SNT.V,D,20171226,000000,0.176,0.176,0.1449,0.1449,0,0
SNT.V,D,20171227,000000,0.1431,0.1431,0.1431,0.1431,0,0
SNT.V,D,20171228,000000,0.1431,0.1799,0.1431,0.1799,0,0
SNT.V,D,20171229,000000,0.1799,0.1799,0.1799,0.1799,0,0
SNT.V,D,20171230,000000,0.16,0.1887,0.151,0.1606,0,0
SNT.V,D,20171231,000000,0.175,0.1997,0.175,0.1997,0,0
SNT.V,D,20180101,000000,0.27,0.3026,0.27,0.2871,0,0
SNT.V,D,20180102,000000,0.2937,0.2937,0.2937,0.2937,0,0
SNT.V,D,20180103,000000,0.2937,0.61,0.2937,0.61,0,0
SNT.V,D,20180104,000000,0.61,0.7393,0.524,0.5872,0,0
SNT.V,D,20180105,000000,0.572,0.583,0.5062,0.5175,0,0
SNT.V,D,20180106,000000,0.5175,0.5566,0.5175,0.5452,0,0
SNT.V,D,20180107,000000,0.5132,0.52,0.5132,0.5132,0,0
SNT.V,D,20180108,000000,0.5132,0.5132,0.5132,0.5132,0,0
SNT.V,D,20180109,000000,0.5132,0.5132,0.5132,0.5132,0,0
SNT.V,D,20180110,000000,0.5132,0.5132,0.5132,0.5132,0,0
SNT.V,D,20180111,000000,0.3701,0.5,0.2201,0.4193,0,0
SNT.V,D,20180112,000000,0.4193,0.5,0.3601,0.485,0,0
SNT.V,D,20180113,000000,0.485,0.58,0.4101,0.4785,0,0
SNT.V,D,20180114,000000,0.4785,0.4801,0.3848,0.43,0,0
SNT.V,D,20180115,000000,0.43,0.4697,0.3731,0.4499,0,0
SNT.V,D,20180116,000000,0.4499,0.4499,0.195,0.3425,0,0
SNT.V,D,20180117,000000,0.3425,0.3428,0.2005,0.3375,0,0
SNT.V,D,20180118,000000,0.3129,0.3485,0.272,0.323,0,0
SNT.V,D,20180119,000000,0.3203,0.354,0.2869,0.3351,0,0
SNT.V,D,20180120,000000,0.3315,0.3795,0.3092,0.3436,0,0
SNT.V,D,20180121,000000,0.3436,0.344,0.253,0.2851,0,0
SNT.V,D,20180122,000000,0.2864,0.3083,0.2543,0.2705,0,0
SNT.V,D,20180123,000000,0.2739,0.2903,0.2555,0.2776,0,0
SNT.V,D,20180124,000000,0.2776,0.3151,0.27,0.2745,0,0
SNT.V,D,20180125,000000,0.2745,0.3482,0.2745,0.3026,0,0
SNT.V,D,20180126,000000,0.3026,0.3111,0.2671,0.2829,0,0
SNT.V,D,20180127,000000,0.2819,0.2944,0.2766,0.2895,0,0
SNT.V,D,20180128,000000,0.2894,0.3,0.2834,0.2958,0,0
SNT.V,D,20180129,000000,0.2959,0.3017,0.2743,0.2777,0,0
SNT.V,D,20180130,000000,0.2777,0.3638,0.2374,0.2416,0,0
SNT.V,D,20180131,000000,0.2416,0.2458,0.2094,0.2344,0,0
SNT.V,D,20180201,000000,0.2344,0.2586,0.1857,0.22,0,0
SNT.V,D,20180202,000000,0.22,0.22,0.1313,0.1782,0,0
SNT.V,D,20180203,000000,0.1782,0.2405,0.1596,0.2128,0,0
SNT.V,D,20180204,000000,0.2128,0.2713,0.1906,0.213,0,0
SNT.V,D,20180205,000000,0.213,0.2443,0.1652,0.1799,0,0
SNT.V,D,20180206,000000,0.1799,0.226,0.1529,0.2109,0,0
SNT.V,D,20180207,000000,0.2109,0.2335,0.1984,0.2102,0,0
SNT.V,D,20180208,000000,0.2102,0.222,0.2,0.2072,0,0
SNT.V,D,20180209,000000,0.2072,0.2228,0.1962,0.2174,0,0
SNT.V,D,20180210,000000,0.2174,0.2539,0.2107,0.2201,0,0
SNT.V,D,20180211,000000,0.2201,0.2261,0.1981,0.2079,0,0
SNT.V,D,20180212,000000,0.2079,0.2234,0.2023,0.2116,0,0
SNT.V,D,20180213,000000,0.2116,0.218,0.198,0.2054,0,0
SNT.V,D,20180214,000000,0.2054,0.2236,0.2031,0.2236,0,0
SNT.V,D,20180215,000000,0.2236,0.2251,0.212,0.2195,0,0
SNT.V,D,20180216,000000,0.2195,0.223,0.209,0.2208,0,0
SNT.V,D,20180217,000000,0.2208,0.2294,0.2155,0.2264,0,0
SNT.V,D,20180218,000000,0.2264,0.2281,0.2012,0.2046,0,0
SNT.V,D,20180219,000000,0.2046,0.2178,0.2018,0.2101,0,0
SNT.V,D,20180220,000000,0.2101,0.212,0.191,0.1926,0,0
SNT.V,D,20180221,000000,0.1926,0.1969,0.1782,0.1807,0,0
SNT.V,D,20180222,000000,0.1807,0.1884,0.1634,0.1679,0,0
SNT.V,D,20180223,000000,0.1679,0.1795,0.162,0.1752,0,0
SNT.V,D,20180224,000000,0.1752,0.1779,0.1595,0.1641,0,0
SNT.V,D,20180225,000000,0.1641,0.175,0.157,0.1713,0,0
SNT.V,D,20180226,000000,0.1713,0.1743,0.1596,0.1713,0,0
SNT.V,D,20180227,000000,0.1713,0.1732,0.165,0.169,0,0
SNT.V,D,20180228,000000,0.169,0.1729,0.1572,0.159,0,0
SNT.V,D,20180301,000000,0.159,0.1678,0.1496,0.1583,0,0
SNT.V,D,20180302,000000,0.1583,0.16,0.1488,0.1539,0,0
SNT.V,D,20180303,000000,0.1539,0.1665,0.15,0.1569,0,0
SNT.V,D,20180304,000000,0.1569,0.1632,0.152,0.1632,0,0
SNT.V,D,20180305,000000,0.1632,0.1939,0.1582,0.1766,0,0
SNT.V,D,20180306,000000,0.1766,0.1849,0.1653,0.17,0,0
SNT.V,D,20180307,000000,0.17,0.1723,0.1473,0.1562,0,0
SNT.V,D,20180308,000000,0.1562,0.1596,0.1414,0.1465,0,0
SNT.V,D,20180309,000000,0.1465,0.1487,0.1261,0.1407,0,0
SNT.V,D,20180310,000000,0.1384,0.145,0.128,0.1322,0,0
SNT.V,D,20180311,000000,0.1315,0.1401,0.1258,0.137,0,0
SNT.V,D,20180312,000000,0.137,0.1396,0.1273,0.1311,0,0
SNT.V,D,20180313,000000,0.1311,0.1366,0.1272,0.1317,0,0
SNT.V,D,20180314,000000,0.1317,0.1361,0.1169,0.1178,0,0
SNT.V,D,20180315,000000,0.1178,0.1184,0.1,0.1083,0,0
SNT.V,D,20180316,000000,0.1083,0.1095,0.1017,0.1063,0,0
SNT.V,D,20180317,000000,0.1063,0.107,0.09108,0.09114,0,0
SNT.V,D,20180318,000000,0.09114,0.1026,0.07453,0.09768,0,0
SNT.V,D,20180319,000000,0.09768,0.1178,0.09644,0.1122,0,0
SNT.V,D,20180320,000000,0.1122,0.119,0.1061,0.1184,0,0
SNT.V,D,20180321,000000,0.1184,0.1197,0.109,0.1128,0,0
SNT.V,D,20180322,000000,0.1128,0.1188,0.1037,0.1081,0,0
SNT.V,D,20180323,000000,0.1081,0.1106,0.09808,0.09933,0,0
SNT.V,D,20180324,000000,0.09933,0.1095,0.09854,0.1,0,0
SNT.V,D,20180325,000000,0.1,0.1019,0.09411,0.1019,0,0
SNT.V,D,20180326,000000,0.1019,0.1021,0.08683,0.08803,0,0
SNT.V,D,20180327,000000,0.08803,0.09436,0.08324,0.09099,0,0
SNT.V,D,20180328,000000,0.09099,0.09483,0.08765,0.09011,0,0
SNT.V,D,20180329,000000,0.09011,0.09305,0.08205,0.08447,0,0
SNT.V,D,20180330,000000,0.08447,0.0916,0.07945,0.08498,0,0
SNT.V,D,20180331,000000,0.08498,0.09182,0.08262,0.0863,0,0
SNT.V,D,20180401,000000,0.0863,0.08849,0.07877,0.08364,0,0
SNT.V,D,20180402,000000,0.08364,0.09658,0.08175,0.08837,0,0
SNT.V,D,20180403,000000,0.08837,0.1141,0.08835,0.1017,0,0
SNT.V,D,20180404,000000,0.1017,0.1074,0.09061,0.09169,0,0
SNT.V,D,20180405,000000,0.09169,0.09262,0.08388,0.08697,0,0
SNT.V,D,20180406,000000,0.08697,0.09289,0.0844,0.08795,0,0
SNT.V,D,20180407,000000,0.08795,0.09105,0.08691,0.09037,0,0
SNT.V,D,20180408,000000,0.09037,0.09245,0.08811,0.0903,0,0
SNT.V,D,20180409,000000,0.0903,0.095,0.08566,0.08711,0,0
SNT.V,D,20180410,000000,0.08711,0.09031,0.08517,0.0901,0,0
SNT.V,D,20180411,000000,0.0901,0.09437,0.08872,0.0936,0,0
SNT.V,D,20180412,000000,0.0936,0.1093,0.09076,0.107,0,0
SNT.V,D,20180413,000000,0.107,0.1256,0.106,0.1144,0,0
SNT.V,D,20180414,000000,0.1144,0.1177,0.1077,0.1141,0,0
SNT.V,D,20180415,000000,0.1141,0.125,0.1115,0.1234,0,0
SNT.V,D,20180416,000000,0.1234,0.1244,0.1124,0.1186,0,0
SNT.V,D,20180417,000000,0.1186,0.126,0.116,0.1201,0,0
SNT.V,D,20180418,000000,0.1201,0.1322,0.1189,0.1319,0,0
SNT.V,D,20180419,000000,0.1319,0.1386,0.1307,0.1364,0,0
SNT.V,D,20180420,000000,0.1364,0.149,0.1351,0.149,0,0
SNT.V,D,20180421,000000,0.149,0.1601,0.1383,0.1464,0,0
