<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBAR.V,D,20190920,000000,0.05058,0.05638,0.04986,0.05159,0,0
HBAR.V,D,20190921,000000,0.05159,0.05484,0.04545,0.04814,0,0
HBAR.V,D,20190922,000000,0.04814,0.04858,0.03844,0.03924,0,0
HBAR.V,D,20190923,000000,0.03924,0.03924,0.03403,0.03791,0,0
HBAR.V,D,20190924,000000,0.03791,0.04041,0.0287,0.02947,0,0
HBAR.V,D,20190925,000000,0.02947,0.03075,0.02635,0.03024,0,0
HBAR.V,D,20190926,000000,0.03024,0.03024,0.02794,0.02899,0,0
HBAR.V,D,20190927,000000,0.02899,0.03805,0.0287,0.03764,0,0
HBAR.V,D,20190928,000000,0.03764,0.0426,0.03734,0.0398,0,0
HBAR.V,D,20190929,000000,0.0398,0.04154,0.03242,0.03565,0,0
HBAR.V,D,20190930,000000,0.03565,0.04465,0.03565,0.03808,0,0
HBAR.V,D,20191001,000000,0.03808,0.04005,0.03747,0.0388,0,0
HBAR.V,D,20191002,000000,0.0388,0.03986,0.03659,0.03759,0,0
HBAR.V,D,20191003,000000,0.03759,0.03909,0.03661,0.03769,0,0
HBAR.V,D,20191004,000000,0.03769,0.03929,0.03684,0.03872,0,0
HBAR.V,D,20191005,000000,0.03872,0.04282,0.03857,0.04209,0,0
HBAR.V,D,20191006,000000,0.04209,0.04209,0.03745,0.038,0,0
HBAR.V,D,20191007,000000,0.038,0.03968,0.03746,0.03828,0,0
HBAR.V,D,20191008,000000,0.03828,0.03924,0.03695,0.03891,0,0
HBAR.V,D,20191009,000000,0.03891,0.04185,0.03867,0.03918,0,0
HBAR.V,D,20191010,000000,0.03918,0.0392,0.03714,0.03843,0,0
HBAR.V,D,20191011,000000,0.03843,0.03843,0.03485,0.03584,0,0
HBAR.V,D,20191012,000000,0.03584,0.03634,0.03476,0.03518,0,0
HBAR.V,D,20191013,000000,0.03518,0.03534,0.0331,0.03319,0,0
HBAR.V,D,20191014,000000,0.03319,0.03839,0.0327,0.03705,0,0
HBAR.V,D,20191015,000000,0.03705,0.04079,0.03523,0.03801,0,0
HBAR.V,D,20191016,000000,0.03801,0.03801,0.03526,0.03751,0,0
HBAR.V,D,20191017,000000,0.03751,0.03783,0.03378,0.03516,0,0
HBAR.V,D,20191018,000000,0.03516,0.03596,0.03364,0.03396,0,0
HBAR.V,D,20191019,000000,0.03396,0.03429,0.03293,0.03365,0,0
HBAR.V,D,20191020,000000,0.03365,0.03513,0.03299,0.03324,0,0
HBAR.V,D,20191021,000000,0.03324,0.03437,0.03314,0.03339,0,0
HBAR.V,D,20191022,000000,0.03339,0.03339,0.03101,0.03158,0,0
HBAR.V,D,20191023,000000,0.03158,0.03158,0.02723,0.02805,0,0
HBAR.V,D,20191024,000000,0.02805,0.02978,0.02702,0.02866,0,0
HBAR.V,D,20191025,000000,0.02866,0.0352,0.02866,0.0307,0,0
HBAR.V,D,20191026,000000,0.0307,0.03463,0.02898,0.03055,0,0
HBAR.V,D,20191027,000000,0.03055,0.03219,0.0298,0.03199,0,0
HBAR.V,D,20191028,000000,0.03199,0.03274,0.02923,0.03172,0,0
HBAR.V,D,20191029,000000,0.03172,0.0349,0.03172,0.03415,0,0
HBAR.V,D,20191030,000000,0.03415,0.03415,0.03154,0.03283,0,0
HBAR.V,D,20191031,000000,0.03283,0.03342,0.03159,0.03324,0,0
HBAR.V,D,20191101,000000,0.03324,0.03547,0.03324,0.03491,0,0
HBAR.V,D,20191102,000000,0.03491,0.0352,0.03334,0.03445,0,0
HBAR.V,D,20191103,000000,0.03445,0.03726,0.03301,0.03698,0,0
HBAR.V,D,20191104,000000,0.03698,0.04023,0.03571,0.03656,0,0
HBAR.V,D,20191105,000000,0.03656,0.03711,0.03524,0.03618,0,0
HBAR.V,D,20191106,000000,0.03618,0.03636,0.03384,0.03421,0,0
HBAR.V,D,20191107,000000,0.03421,0.03421,0.03168,0.03269,0,0
HBAR.V,D,20191108,000000,0.03269,0.035,0.03114,0.03281,0,0
HBAR.V,D,20191109,000000,0.03281,0.03961,0.03281,0.03688,0,0
HBAR.V,D,20191110,000000,0.03688,0.0379,0.03465,0.03537,0,0
HBAR.V,D,20191111,000000,0.03537,0.03537,0.03316,0.03456,0,0
HBAR.V,D,20191112,000000,0.03456,0.03579,0.03438,0.03517,0,0
HBAR.V,D,20191113,000000,0.03517,0.03562,0.03317,0.03536,0,0
HBAR.V,D,20191114,000000,0.03536,0.03536,0.0337,0.03387,0,0
HBAR.V,D,20191115,000000,0.03387,0.03387,0.0293,0.03235,0,0
HBAR.V,D,20191116,000000,0.03235,0.03323,0.03196,0.03281,0,0
HBAR.V,D,20191117,000000,0.03281,0.03474,0.03236,0.0327,0,0
HBAR.V,D,20191118,000000,0.0327,0.0327,0.02998,0.03063,0,0
HBAR.V,D,20191119,000000,0.03063,0.03091,0.02863,0.03034,0,0
HBAR.V,D,20191120,000000,0.03034,0.03076,0.02873,0.0293,0,0
HBAR.V,D,20191121,000000,0.0293,0.0293,0.02633,0.0274,0,0
HBAR.V,D,20191122,000000,0.0274,0.02771,0.02618,0.0264,0,0
HBAR.V,D,20191123,000000,0.0264,0.0276,0.02466,0.02569,0,0
HBAR.V,D,20191124,000000,0.02569,0.02569,0.02363,0.02405,0,0
HBAR.V,D,20191125,000000,0.02405,0.02627,0.02327,0.02413,0,0
HBAR.V,D,20191126,000000,0.02413,0.02502,0.02395,0.02445,0,0
HBAR.V,D,20191127,000000,0.02445,0.02576,0.02395,0.02433,0,0
HBAR.V,D,20191128,000000,0.02433,0.02575,0.02382,0.02516,0,0
HBAR.V,D,20191129,000000,0.02516,0.02766,0.02516,0.02618,0,0
HBAR.V,D,20191130,000000,0.02618,0.02635,0.02431,0.02499,0,0
HBAR.V,D,20191201,000000,0.02499,0.02597,0.02404,0.02553,0,0
HBAR.V,D,20191202,000000,0.02553,0.02562,0.02409,0.02423,0,0
HBAR.V,D,20191203,000000,0.02423,0.02435,0.02362,0.02384,0,0
HBAR.V,D,20191204,000000,0.02384,0.024,0.02206,0.02278,0,0
HBAR.V,D,20191205,000000,0.02278,0.02348,0.0217,0.02259,0,0
HBAR.V,D,20191206,000000,0.02259,0.02426,0.02259,0.02366,0,0
HBAR.V,D,20191207,000000,0.02366,0.02555,0.02352,0.02465,0,0
HBAR.V,D,20191208,000000,0.02465,0.02646,0.0239,0.02631,0,0
HBAR.V,D,20191209,000000,0.02631,0.02808,0.0247,0.02529,0,0
HBAR.V,D,20191210,000000,0.02529,0.02529,0.02185,0.02337,0,0
HBAR.V,D,20191211,000000,0.02337,0.02524,0.02329,0.02474,0,0
HBAR.V,D,20191212,000000,0.02474,0.02498,0.02311,0.02333,0,0
HBAR.V,D,20191213,000000,0.02333,0.02447,0.02331,0.02346,0,0
HBAR.V,D,20191214,000000,0.02346,0.02464,0.0228,0.02329,0,0
HBAR.V,D,20191215,000000,0.02329,0.02354,0.02225,0.02282,0,0
HBAR.V,D,20191216,000000,0.02282,0.02282,0.0209,0.0209,0,0
HBAR.V,D,20191217,000000,0.0209,0.0209,0.01845,0.01851,0,0
HBAR.V,D,20191218,000000,0.01851,0.0221,0.01851,0.01948,0,0
HBAR.V,D,20191219,000000,0.01948,0.01948,0.01797,0.01818,0,0
HBAR.V,D,20191220,000000,0.01818,0.01945,0.01818,0.0188,0,0
HBAR.V,D,20191221,000000,0.0188,0.01919,0.01776,0.01833,0,0
HBAR.V,D,20191222,000000,0.01833,0.02097,0.01833,0.01857,0,0
HBAR.V,D,20191223,000000,0.01857,0.01857,0.01429,0.01561,0,0
HBAR.V,D,20191224,000000,0.01561,0.01576,0.01496,0.01518,0,0
HBAR.V,D,20191225,000000,0.01518,0.01577,0.01448,0.01469,0,0
HBAR.V,D,20191226,000000,0.01469,0.01514,0.01434,0.0147,0,0
HBAR.V,D,20191227,000000,0.0147,0.0148,0.014,0.01414,0,0
HBAR.V,D,20191228,000000,0.01414,0.01478,0.01414,0.01427,0,0
HBAR.V,D,20191229,000000,0.01427,0.0145,0.0128,0.0131,0,0
HBAR.V,D,20191230,000000,0.0131,0.0131,0.01085,0.01107,0,0
HBAR.V,D,20191231,000000,0.01107,0.01178,0.01013,0.01027,0,0
HBAR.V,D,20200101,000000,0.01027,0.01093,0.01014,0.01028,0,0
HBAR.V,D,20200102,000000,0.01028,0.01052,0.009822,0.0101,0,0
HBAR.V,D,20200103,000000,0.0101,0.01101,0.0101,0.01035,0,0
HBAR.V,D,20200104,000000,0.01035,0.01214,0.01008,0.01111,0,0
HBAR.V,D,20200105,000000,0.01111,0.01244,0.01089,0.01156,0,0
HBAR.V,D,20200106,000000,0.01156,0.01227,0.01087,0.0111,0,0
HBAR.V,D,20200107,000000,0.0111,0.01167,0.01053,0.01061,0,0
HBAR.V,D,20200108,000000,0.01061,0.01061,0.009735,0.01022,0,0
HBAR.V,D,20200109,000000,0.01022,0.01063,0.009772,0.01008,0,0
HBAR.V,D,20200110,000000,0.01008,0.01179,0.01008,0.01057,0,0
HBAR.V,D,20200111,000000,0.01057,0.01148,0.01027,0.01131,0,0
HBAR.V,D,20200112,000000,0.01131,0.0117,0.01088,0.01096,0,0
HBAR.V,D,20200113,000000,0.01096,0.01102,0.0103,0.01054,0,0
HBAR.V,D,20200114,000000,0.01054,0.01147,0.01014,0.01023,0,0
HBAR.V,D,20200115,000000,0.01023,0.01075,0.01014,0.0104,0,0
HBAR.V,D,20200116,000000,0.0104,0.01186,0.0102,0.01151,0,0
HBAR.V,D,20200117,000000,0.01151,0.01227,0.01085,0.01165,0,0
HBAR.V,D,20200118,000000,0.01165,0.01221,0.0114,0.01185,0,0
HBAR.V,D,20200119,000000,0.01185,0.01185,0.01053,0.01088,0,0
HBAR.V,D,20200120,000000,0.01088,0.01097,0.01045,0.01053,0,0
HBAR.V,D,20200121,000000,0.01053,0.01082,0.01021,0.01038,0,0
HBAR.V,D,20200122,000000,0.01038,0.01109,0.009967,0.01075,0,0
HBAR.V,D,20200123,000000,0.01075,0.01075,0.01007,0.01024,0,0
HBAR.V,D,20200124,000000,0.01024,0.01121,0.0102,0.01121,0,0
HBAR.V,D,20200125,000000,0.01121,0.0126,0.0106,0.0121,0,0
HBAR.V,D,20200126,000000,0.0121,0.01273,0.01161,0.0117,0,0
HBAR.V,D,20200127,000000,0.0117,0.01273,0.01121,0.01139,0,0
HBAR.V,D,20200128,000000,0.01139,0.01249,0.01139,0.01155,0,0
HBAR.V,D,20200129,000000,0.01155,0.01189,0.01105,0.01161,0,0
HBAR.V,D,20200130,000000,0.01161,0.01235,0.01161,0.01197,0,0
HBAR.V,D,20200131,000000,0.01197,0.01336,0.01168,0.01317,0,0
HBAR.V,D,20200201,000000,0.01317,0.0137,0.01286,0.01333,0,0
HBAR.V,D,20200202,000000,0.01333,0.01363,0.01279,0.01316,0,0
