<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSV.V,D,20181127,000000,70,70,70,70,0,0
BSV.V,D,20181128,000000,70,70,70,70,0,0
BSV.V,D,20181129,000000,70,70,70,70,0,0
BSV.V,D,20181130,000000,70,70,70,70,0,0
BSV.V,D,20181201,000000,70,70,70,70,0,0
BSV.V,D,20181202,000000,70,70,70,70,0,0
BSV.V,D,20181203,000000,70,70,70,70,0,0
BSV.V,D,20181204,000000,70,70,70,70,0,0
BSV.V,D,20181205,000000,70,70,70,70,0,0
BSV.V,D,20181206,000000,70,70,70,70,0,0
BSV.V,D,20181207,000000,70,70,70,70,0,0
BSV.V,D,20181208,000000,70,70,70,70,0,0
BSV.V,D,20181209,000000,70,70,70,70,0,0
BSV.V,D,20181210,000000,70,70,70,70,0,0
BSV.V,D,20181211,000000,70,90.2,70,89.75,0,0
BSV.V,D,20181212,000000,89.75,91.96,86.02,89.29,0,0
BSV.V,D,20181213,000000,89.29,90.33,79.19,80.19,0,0
BSV.V,D,20181214,000000,80.19,82.39,70.37,73.07,0,0
BSV.V,D,20181215,000000,73.07,74.1,64.46,68.42,0,0
BSV.V,D,20181216,000000,68.42,81.41,67.71,78.74,0,0
BSV.V,D,20181217,000000,78.69,84.06,75.65,81.27,0,0
BSV.V,D,20181218,000000,81.27,86.5,78.06,84.85,0,0
BSV.V,D,20181219,000000,84.85,99.09,83.88,90.48,0,0
BSV.V,D,20181220,000000,90.48,124.29,86.27,115.7,0,0
BSV.V,D,20181221,000000,115.7,133.16,104.53,108.09,0,0
BSV.V,D,20181222,000000,108.09,117.11,104.23,108.77,0,0
BSV.V,D,20181223,000000,108.77,117.05,107.61,110.43,0,0
BSV.V,D,20181224,000000,110.47,115.98,103.17,106.43,0,0
BSV.V,D,20181225,000000,106.43,106.81,91.09,94.88,0,0
BSV.V,D,20181226,000000,94.88,101.57,92.24,96.2,0,0
BSV.V,D,20181227,000000,96.2,100.22,85.61,86.49,0,0
BSV.V,D,20181228,000000,86.49,97.26,83.67,94.52,0,0
BSV.V,D,20181229,000000,94.52,96.65,88.9,94.22,0,0
BSV.V,D,20181230,000000,94.22,95.6,86.99,91.25,0,0
BSV.V,D,20181231,000000,91.25,91.49,85.41,86.41,0,0
BSV.V,D,20190101,000000,86.41,97.41,85.05,92.79,0,0
BSV.V,D,20190102,000000,92.79,95.99,92.79,95.86,0,0
BSV.V,D,20190103,000000,95.86,98.24,87.02,90.67,0,0
BSV.V,D,20190104,000000,90.67,92.27,87,89.92,0,0
BSV.V,D,20190105,000000,89.92,93.34,87.88,89.79,0,0
BSV.V,D,20190106,000000,89.79,93.19,88.06,91.96,0,0
BSV.V,D,20190107,000000,91.96,92.84,87.27,89.41,0,0
BSV.V,D,20190108,000000,89.41,90.57,85.75,88.53,0,0
BSV.V,D,20190109,000000,88.53,89.74,86.76,87.7,0,0
BSV.V,D,20190110,000000,87.7,91.06,75.82,76.76,0,0
BSV.V,D,20190111,000000,76.76,77.23,73.67,75.07,0,0
BSV.V,D,20190112,000000,75.07,86.1,74.45,83.55,0,0
BSV.V,D,20190113,000000,83.55,88.3,75.21,76.95,0,0
BSV.V,D,20190114,000000,76.95,83.66,76.78,80.94,0,0
BSV.V,D,20190115,000000,80.94,82.69,76.7,76.94,0,0
BSV.V,D,20190116,000000,76.94,79.67,76.16,78.01,0,0
BSV.V,D,20190117,000000,78.01,78.83,76.35,78.36,0,0
BSV.V,D,20190118,000000,78.36,78.89,74.76,76.87,0,0
BSV.V,D,20190119,000000,76.87,79.77,75.28,78.51,0,0
BSV.V,D,20190120,000000,78.51,78.52,73.62,75.39,0,0
BSV.V,D,20190121,000000,75.39,77.09,73.7,74.98,0,0
BSV.V,D,20190122,000000,74.98,77.47,72.02,76.34,0,0
BSV.V,D,20190123,000000,76.34,77.43,74.98,76.04,0,0
BSV.V,D,20190124,000000,76.04,76.42,73.85,75.58,0,0
BSV.V,D,20190125,000000,75.58,77.15,73.48,75.39,0,0
BSV.V,D,20190126,000000,75.39,76.59,73,74.65,0,0
BSV.V,D,20190127,000000,74.65,74.66,70.95,71.97,0,0
BSV.V,D,20190128,000000,71.97,72.22,62.8,65.84,0,0
BSV.V,D,20190129,000000,65.84,66.54,62.16,64.41,0,0
BSV.V,D,20190130,000000,64.41,68.73,63.44,66.83,0,0
BSV.V,D,20190131,000000,66.83,68.26,63.42,65.16,0,0
BSV.V,D,20190201,000000,65.16,65.85,62.85,65.26,0,0
BSV.V,D,20190202,000000,65.26,66.47,63.36,65.84,0,0
BSV.V,D,20190203,000000,65.84,66.78,63.68,64.2,0,0
BSV.V,D,20190204,000000,64.55,64.85,62.77,63.09,0,0
BSV.V,D,20190205,000000,63.09,63.56,60.15,61.54,0,0
BSV.V,D,20190206,000000,61.54,69.97,57.82,62.79,0,0
BSV.V,D,20190207,000000,62.79,66.31,61.83,63.65,0,0
BSV.V,D,20190208,000000,63.69,70.91,62.01,66.87,0,0
BSV.V,D,20190209,000000,66.88,68.76,65.74,66.93,0,0
BSV.V,D,20190210,000000,66.93,67.37,63.63,65.46,0,0
BSV.V,D,20190211,000000,65.72,67.36,64.66,65.79,0,0
BSV.V,D,20190212,000000,65.79,67.71,64.27,65.85,0,0
BSV.V,D,20190213,000000,65.85,67.07,64.17,65.33,0,0
BSV.V,D,20190214,000000,65.33,65.56,62.79,63.67,0,0
BSV.V,D,20190215,000000,63.67,64.22,61.13,62.91,0,0
BSV.V,D,20190216,000000,62.91,64,61.52,62.81,0,0
BSV.V,D,20190217,000000,62.81,64.44,61.12,63.4,0,0
BSV.V,D,20190218,000000,63.4,72.5,63.4,68.7,0,0
BSV.V,D,20190219,000000,68.7,72.12,67.73,68.15,0,0
BSV.V,D,20190220,000000,68.15,68.92,65.24,67.36,0,0
BSV.V,D,20190221,000000,67.36,68.94,64.63,65.81,0,0
BSV.V,D,20190222,000000,65.81,67.23,64.71,66.6,0,0
BSV.V,D,20190223,000000,66.6,68.98,65,68.23,0,0
BSV.V,D,20190224,000000,68.23,70.97,61.12,61.95,0,0
BSV.V,D,20190225,000000,61.95,73.1,60.91,68.62,0,0
BSV.V,D,20190226,000000,68.62,76.83,68.4,74.06,0,0
BSV.V,D,20190227,000000,74.06,75.47,67.17,68.13,0,0
BSV.V,D,20190228,000000,68.13,70.45,66.58,67.87,0,0
BSV.V,D,20190301,000000,67.87,69.56,67.39,68.52,0,0
BSV.V,D,20190302,000000,68.52,68.58,65.85,67.76,0,0
BSV.V,D,20190303,000000,67.76,68.02,64.69,66.12,0,0
BSV.V,D,20190304,000000,66.18,66.6,63.06,63.66,0,0
BSV.V,D,20190305,000000,63.66,68.58,62.57,68,0,0
BSV.V,D,20190306,000000,68,68.76,65.82,66,0,0
BSV.V,D,20190307,000000,66,68.26,66,67.7,0,0
BSV.V,D,20190308,000000,67.7,70.65,65.55,66.17,0,0
BSV.V,D,20190309,000000,66.19,69.36,65.81,67.54,0,0
BSV.V,D,20190310,000000,67.54,69.51,65.48,67.69,0,0
BSV.V,D,20190311,000000,67.69,67.9,65.5,65.87,0,0
BSV.V,D,20190312,000000,65.87,66.87,64.57,66.59,0,0
BSV.V,D,20190313,000000,66.59,66.95,64.35,65.37,0,0
BSV.V,D,20190314,000000,65.37,68.06,64.4,66.77,0,0
BSV.V,D,20190315,000000,66.77,68.94,65.55,68.76,0,0
BSV.V,D,20190316,000000,68.76,72.86,67.77,69.48,0,0
BSV.V,D,20190317,000000,69.48,69.95,66.81,68.98,0,0
BSV.V,D,20190318,000000,68.98,70.98,65.97,67.44,0,0
BSV.V,D,20190319,000000,67.52,68.16,65.33,67.27,0,0
BSV.V,D,20190320,000000,67.37,67.77,65.78,67.68,0,0
BSV.V,D,20190321,000000,67.68,69.01,64.8,66.18,0,0
BSV.V,D,20190322,000000,66.18,67.69,64.96,67.1,0,0
BSV.V,D,20190323,000000,67.1,68.43,65.66,67.37,0,0
BSV.V,D,20190324,000000,67.37,67.7,65.46,65.5,0,0
BSV.V,D,20190325,000000,65.5,65.63,63.24,63.73,0,0
BSV.V,D,20190326,000000,63.73,65.31,62.56,63.42,0,0
BSV.V,D,20190327,000000,63.42,66.22,63.42,65.38,0,0
BSV.V,D,20190328,000000,65.38,66.14,64,64.01,0,0
BSV.V,D,20190329,000000,64.02,66.08,63.83,65.48,0,0
BSV.V,D,20190330,000000,65.48,67.73,64.48,65.5,0,0
