<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEDG.V,D,20191223,000000,1.694,1.775,1.635,1.651,0,0
HEDG.V,D,20191224,000000,1.65,1.837,1.599,1.69,0,0
HEDG.V,D,20191225,000000,1.69,1.729,1.598,1.616,0,0
HEDG.V,D,20191226,000000,1.615,1.735,1.577,1.619,0,0
HEDG.V,D,20191227,000000,1.618,1.718,1.584,1.681,0,0
HEDG.V,D,20191228,000000,1.681,1.778,1.653,1.761,0,0
HEDG.V,D,20191229,000000,1.761,1.812,1.748,1.787,0,0
HEDG.V,D,20191230,000000,1.792,1.827,1.489,1.76,0,0
HEDG.V,D,20191231,000000,1.76,1.795,1.703,1.728,0,0
HEDG.V,D,20200101,000000,1.727,1.788,1.713,1.731,0,0
HEDG.V,D,20200102,000000,1.73,1.77,1.638,1.648,0,0
HEDG.V,D,20200103,000000,1.648,1.81,1.608,1.769,0,0
HEDG.V,D,20200104,000000,1.769,1.803,1.751,1.787,0,0
HEDG.V,D,20200105,000000,1.787,1.838,1.778,1.783,0,0
HEDG.V,D,20200106,000000,1.783,1.935,1.782,1.894,0,0
HEDG.V,D,20200107,000000,1.893,2.223,1.87,1.949,0,0
HEDG.V,D,20200108,000000,1.95,2.101,1.908,1.95,0,0
HEDG.V,D,20200109,000000,1.95,2.063,1.88,1.896,0,0
HEDG.V,D,20200110,000000,1.897,2.09,1.282,1.958,0,0
HEDG.V,D,20200111,000000,1.958,2.049,1.935,1.957,0,0
HEDG.V,D,20200112,000000,1.957,1.991,1.938,1.98,0,0
HEDG.V,D,20200113,000000,1.981,2.046,1.973,2.005,0,0
HEDG.V,D,20200114,000000,2.005,2.305,1.992,2.188,0,0
HEDG.V,D,20200115,000000,2.185,2.357,2.145,2.206,0,0
HEDG.V,D,20200116,000000,2.205,2.345,2.132,2.311,0,0
HEDG.V,D,20200117,000000,2.311,2.444,2.13,2.234,0,0
HEDG.V,D,20200118,000000,2.234,2.399,2.177,2.328,0,0
HEDG.V,D,20200119,000000,2.328,2.47,2.211,2.301,0,0
HEDG.V,D,20200120,000000,2.301,2.381,2.269,2.314,0,0
HEDG.V,D,20200121,000000,2.312,2.506,2.197,2.475,0,0
HEDG.V,D,20200122,000000,2.473,2.572,2.308,2.423,0,0
HEDG.V,D,20200123,000000,2.422,2.613,2.241,2.364,0,0
HEDG.V,D,20200124,000000,2.427,2.642,2.281,2.5,0,0
HEDG.V,D,20200125,000000,2.501,2.563,2.302,2.448,0,0
HEDG.V,D,20200126,000000,2.446,2.572,2.347,2.464,0,0
HEDG.V,D,20200127,000000,2.464,2.897,2.464,2.776,0,0
HEDG.V,D,20200128,000000,2.776,2.921,2.494,2.822,0,0
HEDG.V,D,20200129,000000,2.537,3.02,2.291,2.562,0,0
HEDG.V,D,20200130,000000,2.562,2.973,2.47,2.723,0,0
HEDG.V,D,20200131,000000,2.725,2.869,2.47,2.516,0,0
HEDG.V,D,20200201,000000,2.516,2.893,2.353,2.534,0,0
HEDG.V,D,20200202,000000,2.534,2.598,2.407,2.462,0,0
HEDG.V,D,20200203,000000,2.461,2.552,2.27,2.443,0,0
HEDG.V,D,20200204,000000,2.443,2.676,2.439,2.534,0,0
HEDG.V,D,20200205,000000,2.534,3.054,2.518,2.671,0,0
HEDG.V,D,20200206,000000,2.671,2.818,2.493,2.782,0,0
HEDG.V,D,20200207,000000,2.782,3.281,2.54,2.587,0,0
HEDG.V,D,20200208,000000,2.588,2.635,2.523,2.591,0,0
HEDG.V,D,20200209,000000,2.59,2.674,2.579,2.616,0,0
HEDG.V,D,20200210,000000,2.616,2.652,2.518,2.553,0,0
HEDG.V,D,20200211,000000,2.554,2.874,2.528,2.672,0,0
HEDG.V,D,20200212,000000,2.679,2.765,2.618,2.675,0,0
HEDG.V,D,20200213,000000,2.675,2.786,2.575,2.602,0,0
HEDG.V,D,20200214,000000,2.601,2.696,2.53,2.658,0,0
HEDG.V,D,20200215,000000,2.658,2.932,2.567,2.672,0,0
HEDG.V,D,20200216,000000,2.672,2.743,2.557,2.624,0,0
HEDG.V,D,20200217,000000,2.625,2.73,2.495,2.707,0,0
HEDG.V,D,20200218,000000,2.706,3.143,2.698,2.891,0,0
HEDG.V,D,20200219,000000,2.89,2.947,2.623,2.707,0,0
