<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSFE-WS.US,D,20210401,000000,4.45,4.68,4.27,4.64,961371,0
PSFE-WS.US,D,20210405,000000,5,5.12,4.55,4.62,1016171,0
PSFE-WS.US,D,20210406,000000,4.6,4.8,4.4,4.51,446593,0
PSFE-WS.US,D,20210407,000000,4.51,4.88,4.48,4.5,506350,0
PSFE-WS.US,D,20210408,000000,4.59,4.6,4.31,4.55,582189,0
PSFE-WS.US,D,20210409,000000,4.6,4.6,4.2,4.29,298674,0
PSFE-WS.US,D,20210412,000000,3.95,4.21,3.69,3.8701,882588,0
PSFE-WS.US,D,20210413,000000,3.85,3.93,3.66,3.85,498602,0
PSFE-WS.US,D,20210414,000000,4.05,4.3,3.97,4.03,494020,0
PSFE-WS.US,D,20210415,000000,4.2,4.42,4.06,4.3,662184,0
PSFE-WS.US,D,20210416,000000,4.35,4.35,3.96,4,295833,0
PSFE-WS.US,D,20210419,000000,3.63,3.78,3.5,3.605,861326,0
PSFE-WS.US,D,20210420,000000,3.51,3.55,3.21,3.46,883738,0
PSFE-WS.US,D,20210421,000000,3.41,3.59,3.25,3.5,638932,0
PSFE-WS.US,D,20210422,000000,3.3,3.95,3.3,3.88,410567,0
PSFE-WS.US,D,20210423,000000,3.86,4.12,3.8508,4.06,329674,0
PSFE-WS.US,D,20210426,000000,4.21,4.42,4.2,4.37,514721,0
PSFE-WS.US,D,20210427,000000,4.5,4.5,4.3,4.45,189191,0
PSFE-WS.US,D,20210428,000000,4.3,4.45,4.27,4.44,154143,0
PSFE-WS.US,D,20210429,000000,4.48,4.58,4.33,4.495,395139,0
PSFE-WS.US,D,20210430,000000,4.31,4.6,4.28,4.57,420498,0
PSFE-WS.US,D,20210503,000000,4.68,4.69,4.41,4.67,396115,0
PSFE-WS.US,D,20210504,000000,4.61,4.61,4.16,4.5,313095,0
PSFE-WS.US,D,20210505,000000,4.36,4.59,4.27,4.285,104375,0
PSFE-WS.US,D,20210506,000000,4.13,4.33,3.93,4,315327,0
PSFE-WS.US,D,20210507,000000,4,4.49,4,4.38,313414,0
PSFE-WS.US,D,20210510,000000,4.27,4.49,4.24,4.47,316945,0
PSFE-WS.US,D,20210511,000000,3.06,3.8,2.87,3.75,907348,0
PSFE-WS.US,D,20210512,000000,3.5,3.59,3.06,3.17,836978,0
PSFE-WS.US,D,20210513,000000,3.15,3.2999,2.72,2.95,992610,0
PSFE-WS.US,D,20210514,000000,2.88,3.27,2.88,3.19,357355,0
PSFE-WS.US,D,20210517,000000,3.11,3.37,3.11,3.3,69602,0
PSFE-WS.US,D,20210518,000000,3.45,4,3.45,3.81,553884,0
PSFE-WS.US,D,20210519,000000,3.6,4.05,3.6,4.02,339265,0
PSFE-WS.US,D,20210520,000000,3.97,4.22,3.95,3.95,292288,0
PSFE-WS.US,D,20210521,000000,4.1,4.16,3.85,3.8606,321362,0
PSFE-WS.US,D,20210524,000000,3.81,3.91,3.56,3.6,210610,0
PSFE-WS.US,D,20210525,000000,3.6,3.6,3.45,3.47,222910,0
PSFE-WS.US,D,20210526,000000,3.49,3.54,3.395,3.51,162573,0
PSFE-WS.US,D,20210527,000000,3.53,3.56,3.39,3.39,85670,0
PSFE-WS.US,D,20210528,000000,3.45,3.51,3.35,3.4,72473,0
PSFE-WS.US,D,20210601,000000,3.35,3.725,3.31,3.655,150122,0
PSFE-WS.US,D,20210602,000000,3.6,3.87,3.45,3.8,208040,0
PSFE-WS.US,D,20210603,000000,3.71,3.867,3.53,3.66,117732,0
PSFE-WS.US,D,20210604,000000,3.58,3.8,3.58,3.72,159310,0
PSFE-WS.US,D,20210607,000000,3.88,3.91,3.65,3.74,124606,0
PSFE-WS.US,D,20210608,000000,3.75,3.765,3.52,3.61,213624,0
PSFE-WS.US,D,20210609,000000,3.68,3.68,3.5,3.66,182032,0
PSFE-WS.US,D,20210610,000000,3.55,3.6215,3.41,3.4873,95920,0
PSFE-WS.US,D,20210611,000000,3.45,3.53,3.39,3.4699,126811,0
PSFE-WS.US,D,20210614,000000,3.44,3.52,3.32,3.32,133683,0
PSFE-WS.US,D,20210615,000000,3.32,3.35,3.15,3.235,114629,0
PSFE-WS.US,D,20210616,000000,3.16,3.26,3.15,3.23,183663,0
PSFE-WS.US,D,20210617,000000,3.24,3.33,3.17,3.26,182543,0
PSFE-WS.US,D,20210618,000000,3.36,3.54,3.3001,3.34,109706,0
PSFE-WS.US,D,20210621,000000,3.35,3.38,3.18,3.3,69056,0
PSFE-WS.US,D,20210622,000000,3.22,3.32,3.15,3.22,170026,0
PSFE-WS.US,D,20210623,000000,3.15,3.32,3.15,3.25,341739,0
PSFE-WS.US,D,20210624,000000,3.29,3.29,3.16,3.1799,135572,0
PSFE-WS.US,D,20210625,000000,3.66,4,3.48,3.55,925199,0
PSFE-WS.US,D,20210628,000000,3.86,4.1,3.63,3.67,403442,0
PSFE-WS.US,D,20210629,000000,3.8,3.8,3.42,3.53,201663,0
PSFE-WS.US,D,20210630,000000,3.6,3.76,3.5,3.58,178936,0
PSFE-WS.US,D,20210701,000000,3.56,3.5601,3.38,3.42,95955,0
PSFE-WS.US,D,20210702,000000,3.38,3.42,3.23,3.3,149146,0
PSFE-WS.US,D,20210706,000000,3.29,3.29,3.15,3.22,142961,0
PSFE-WS.US,D,20210707,000000,3.18,3.24,3.1501,3.1799,74776,0
PSFE-WS.US,D,20210708,000000,3.13,3.1899,3.05,3.11,176045,0
PSFE-WS.US,D,20210709,000000,3.08,3.23,3.08,3.2,98965,0
