<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSTD-WS.US,D,20210426,000000,1.03,1.03,1.03,1.03,300,0
NSTD-WS.US,D,20210427,000000,1.03,1.03,1.03,1.03,755,0
NSTD-WS.US,D,20210429,000000,0.95,0.96,0.95,0.96,682,0
NSTD-WS.US,D,20210430,000000,0.95,0.95,0.74,0.8001,10356,0
NSTD-WS.US,D,20210503,000000,0.85,0.87,0.83,0.84,82994,0
NSTD-WS.US,D,20210504,000000,0.855,0.855,0.76,0.83,73319,0
NSTD-WS.US,D,20210505,000000,0.83,0.95,0.83,0.94,26655,0
NSTD-WS.US,D,20210506,000000,0.9309,0.9309,0.9151,0.9151,2100,0
NSTD-WS.US,D,20210507,000000,0.93,0.93,0.9002,0.9003,1170,0
NSTD-WS.US,D,20210510,000000,0.93,0.93,0.93,0.93,14920,0
NSTD-WS.US,D,20210511,000000,0.92,0.92,0.87,0.874999,17678,0
NSTD-WS.US,D,20210512,000000,0.8,0.895,0.8,0.895,7737,0
NSTD-WS.US,D,20210513,000000,0.870101,0.870101,0.87,0.87,680,0
NSTD-WS.US,D,20210514,000000,0.87,0.9744,0.87,0.95,31953,0
NSTD-WS.US,D,20210517,000000,1,1,0.858,0.88,40533,0
NSTD-WS.US,D,20210518,000000,0.8801,0.9132,0.87,0.9132,27795,0
NSTD-WS.US,D,20210520,000000,0.92,0.92,0.8501,0.8501,29751,0
NSTD-WS.US,D,20210524,000000,0.855,0.930878,0.855,0.920248,32627,0
NSTD-WS.US,D,20210525,000000,1,1.01,0.99,1.01,8320,0
NSTD-WS.US,D,20210526,000000,0.99,1.06,0.98,1.06,1700,0
NSTD-WS.US,D,20210528,000000,1.05,1.05,1,1.05,8259,0
NSTD-WS.US,D,20210604,000000,1.1,1.1501,1.1,1.1501,8000,0
NSTD-WS.US,D,20210607,000000,1.1501,1.1508,1.15,1.1508,4892,0
NSTD-WS.US,D,20210608,000000,1.13,1.13,1.1,1.1,1122,0
NSTD-WS.US,D,20210609,000000,1.06,1.12,1.05,1.1,3345,0
NSTD-WS.US,D,20210610,000000,1.06,1.06,1.05,1.05,334,0
NSTD-WS.US,D,20210611,000000,1.11,1.17,1.04,1.12,10161,0
NSTD-WS.US,D,20210614,000000,1.2,1.2,1.16,1.19,3925,0
NSTD-WS.US,D,20210615,000000,1.335,1.335,1.31,1.31,775,0
NSTD-WS.US,D,20210616,000000,1.25,1.31,1.2077,1.2077,3734,0
NSTD-WS.US,D,20210617,000000,1.345,1.345,1.11,1.19,101172,0
NSTD-WS.US,D,20210621,000000,1.3283,1.33,1.15,1.29,14377,0
NSTD-WS.US,D,20210622,000000,1.21,1.26,1.18,1.26,3670,0
NSTD-WS.US,D,20210623,000000,1.26,1.26,1.2285,1.2285,754,0
NSTD-WS.US,D,20210624,000000,1.25,1.25,1.2207,1.2207,800,0
NSTD-WS.US,D,20210625,000000,1.26,1.29,1.24,1.26,5608,0
NSTD-WS.US,D,20210628,000000,1.5,1.5,1.2,1.29,2995,0
NSTD-WS.US,D,20210629,000000,1.16,1.35,1.16,1.35,3701,0
NSTD-WS.US,D,20210630,000000,1.495,1.495,1.45,1.45,25500,0
NSTD-WS.US,D,20210701,000000,1.47,1.47,1.3,1.3,579,0
NSTD-WS.US,D,20210702,000000,1.22,1.3273,1.1955,1.3273,2292,0
NSTD-WS.US,D,20210706,000000,1.16,1.2886,1.15,1.16,24289,0
NSTD-WS.US,D,20210707,000000,1.19,1.26,1.19,1.21,14214,0
NSTD-WS.US,D,20210708,000000,1.13,1.3005,1.13,1.3005,716,0
NSTD-WS.US,D,20210709,000000,1.2,1.26,1.2,1.2577,3533,0
