<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNOCNYON,D,20200402,000000,1.278,1.278,1.278,1.278,0,0
CNOCNYON,D,20200403,000000,1.001,1.001,1.001,1.001,0,0
CNOCNYON,D,20200407,000000,0.806,0.806,0.806,0.806,0,0
CNOCNYON,D,20200408,000000,0.893,0.893,0.893,0.893,0,0
CNOCNYON,D,20200409,000000,1.182,1.182,1.182,1.182,0,0
CNOCNYON,D,20200410,000000,1.349,1.349,1.349,1.349,0,0
CNOCNYON,D,20200413,000000,1.378,1.378,1.378,1.378,0,0
CNOCNYON,D,20200414,000000,0.994,0.994,0.994,0.994,0,0
CNOCNYON,D,20200415,000000,0.801,0.801,0.801,0.801,0,0
CNOCNYON,D,20200416,000000,0.702,0.702,0.702,0.702,0,0
CNOCNYON,D,20200417,000000,0.716,0.716,0.716,0.716,0,0
CNOCNYON,D,20200420,000000,0.896,0.896,0.896,0.896,0,0
CNOCNYON,D,20200421,000000,0.901,0.901,0.901,0.901,0,0
CNOCNYON,D,20200422,000000,0.901,0.901,0.901,0.901,0,0
CNOCNYON,D,20200423,000000,0.893,0.893,0.893,0.893,0,0
CNOCNYON,D,20200424,000000,0.912,0.912,0.912,0.912,0,0
CNOCNYON,D,20200427,000000,0.874,0.874,0.874,0.874,0,0
CNOCNYON,D,20200428,000000,0.874,0.874,0.874,0.874,0,0
CNOCNYON,D,20200429,000000,0.661,0.661,0.661,0.661,0,0
CNOCNYON,D,20200430,000000,1.888,1.888,1.888,1.888,0,0
CNOCNYON,D,20200506,000000,1.483,1.483,1.483,1.483,0,0
CNOCNYON,D,20200507,000000,1.143,1.143,1.143,1.143,0,0
CNOCNYON,D,20200508,000000,0.938,0.938,0.938,0.938,0,0
CNOCNYON,D,20200511,000000,0.876,0.876,0.876,0.876,0,0
CNOCNYON,D,20200512,000000,0.803,0.803,0.803,0.803,0,0
CNOCNYON,D,20200513,000000,0.705,0.705,0.705,0.705,0,0
CNOCNYON,D,20200514,000000,0.743,0.743,0.743,0.743,0,0
CNOCNYON,D,20200515,000000,0.864,0.864,0.864,0.864,0,0
CNOCNYON,D,20200518,000000,0.905,0.905,0.905,0.905,0,0
CNOCNYON,D,20200519,000000,1.385,1.385,1.385,1.385,0,0
CNOCNYON,D,20200520,000000,1.22,1.22,1.22,1.22,0,0
CNOCNYON,D,20200521,000000,1.104,1.104,1.104,1.104,0,0
CNOCNYON,D,20200522,000000,1.094,1.094,1.094,1.094,0,0
CNOCNYON,D,20200525,000000,1.473,1.473,1.473,1.473,0,0
CNOCNYON,D,20200526,000000,1.88,1.88,1.88,1.88,0,0
CNOCNYON,D,20200527,000000,2.104,2.104,2.104,2.104,0,0
CNOCNYON,D,20200528,000000,2.102,2.102,2.102,2.102,0,0
CNOCNYON,D,20200529,000000,2.097,2.097,2.097,2.097,0,0
CNOCNYON,D,20200601,000000,1.629,1.629,1.629,1.629,0,0
CNOCNYON,D,20200602,000000,1.468,1.468,1.468,1.468,0,0
CNOCNYON,D,20200603,000000,1.885,1.885,1.885,1.885,0,0
CNOCNYON,D,20200604,000000,1.963,1.963,1.963,1.963,0,0
CNOCNYON,D,20200605,000000,1.582,1.582,1.582,1.582,0,0
CNOCNYON,D,20200608,000000,1.89,1.89,1.89,1.89,0,0
CNOCNYON,D,20200609,000000,1.833,1.833,1.833,1.833,0,0
CNOCNYON,D,20200610,000000,1.849,1.849,1.849,1.849,0,0
CNOCNYON,D,20200611,000000,1.757,1.757,1.757,1.757,0,0
CNOCNYON,D,20200612,000000,1.529,1.529,1.529,1.529,0,0
CNOCNYON,D,20200615,000000,1.477,1.477,1.477,1.477,0,0
CNOCNYON,D,20200616,000000,1.751,1.751,1.751,1.751,0,0
CNOCNYON,D,20200617,000000,2.048,2.048,2.048,2.048,0,0
CNOCNYON,D,20200618,000000,2.123,2.123,2.123,2.123,0,0
CNOCNYON,D,20200619,000000,2.131,2.131,2.131,2.131,0,0
CNOCNYON,D,20200622,000000,2.133,2.133,2.133,2.133,0,0
CNOCNYON,D,20200623,000000,1.971,1.971,1.971,1.971,0,0
CNOCNYON,D,20200624,000000,1.54,1.54,1.54,1.54,0,0
CNOCNYON,D,20200629,000000,1.012,1.012,1.012,1.012,0,0
CNOCNYON,D,20200630,000000,1.785,1.785,1.785,1.785,0,0
CNOCNYON,D,20200701,000000,1.967,1.967,1.967,1.967,0,0
CNOCNYON,D,20200702,000000,1.745,1.745,1.745,1.745,0,0
CNOCNYON,D,20200703,000000,1.364,1.364,1.364,1.364,0,0
CNOCNYON,D,20200706,000000,1.346,1.346,1.346,1.346,0,0
CNOCNYON,D,20200707,000000,1.706,1.706,1.706,1.706,0,0
CNOCNYON,D,20200708,000000,2.088,2.088,2.088,2.088,0,0
CNOCNYON,D,20200709,000000,2.189,2.189,2.189,2.189,0,0
CNOCNYON,D,20200710,000000,2.197,2.197,2.197,2.197,0,0
CNOCNYON,D,20200713,000000,2.128,2.128,2.128,2.128,0,0
CNOCNYON,D,20200714,000000,1.67,1.67,1.67,1.67,0,0
CNOCNYON,D,20200715,000000,2.022,2.022,2.022,2.022,0,0
CNOCNYON,D,20200716,000000,2.2465,2.2465,2.2465,2.2465,0,0
CNOCNYON,D,20200717,000000,2.328,2.328,2.328,2.328,0,0
CNOCNYON,D,20200720,000000,1.9565,1.9565,1.9565,1.9565,0,0
CNOCNYON,D,20200721,000000,1.584,1.584,1.584,1.584,0,0
CNOCNYON,D,20200722,000000,1.336,1.336,1.336,1.336,0,0
CNOCNYON,D,20200723,000000,1.858,1.858,1.858,1.858,0,0
CNOCNYON,D,20200724,000000,1.843,1.843,1.843,1.843,0,0
CNOCNYON,D,20200727,000000,1.994,1.994,1.994,1.994,0,0
CNOCNYON,D,20200728,000000,1.753,1.753,1.753,1.753,0,0
CNOCNYON,D,20200729,000000,1.45,1.45,1.45,1.45,0,0
CNOCNYON,D,20200730,000000,1.369,1.369,1.369,1.369,0,0
CNOCNYON,D,20200731,000000,1.788,1.788,1.788,1.788,0,0
CNOCNYON,D,20200803,000000,1.57,1.57,1.57,1.57,0,0
CNOCNYON,D,20200804,000000,1.925,1.925,1.925,1.925,0,0
CNOCNYON,D,20200805,000000,1.69,1.69,1.69,1.69,0,0
CNOCNYON,D,20200806,000000,1.661,1.661,1.661,1.661,0,0
CNOCNYON,D,20200807,000000,2.057,2.057,2.057,2.057,0,0
CNOCNYON,D,20200810,000000,2.129,2.129,2.129,2.129,0,0
CNOCNYON,D,20200811,000000,2.201,2.201,2.201,2.201,0,0
CNOCNYON,D,20200812,000000,2.152,2.152,2.152,2.152,0,0
CNOCNYON,D,20200813,000000,2.162,2.162,2.162,2.162,0,0
CNOCNYON,D,20200814,000000,2.175,2.175,2.175,2.175,0,0
CNOCNYON,D,20200817,000000,2.128,2.128,2.128,2.128,0,0
CNOCNYON,D,20200818,000000,2.115,2.115,2.115,2.115,0,0
CNOCNYON,D,20200819,000000,2.148,2.148,2.148,2.148,0,0
CNOCNYON,D,20200820,000000,2.172,2.172,2.172,2.172,0,0
CNOCNYON,D,20200821,000000,2.258,2.258,2.258,2.258,0,0
CNOCNYON,D,20200824,000000,2.3595,2.3595,2.3595,2.3595,0,0
CNOCNYON,D,20200825,000000,1.969,1.969,1.969,1.969,0,0
CNOCNYON,D,20200826,000000,1.63,1.63,1.63,1.63,0,0
CNOCNYON,D,20200827,000000,1.477,1.477,1.477,1.477,0,0
CNOCNYON,D,20200828,000000,1.345,1.345,1.345,1.345,0,0
CNOCNYON,D,20200831,000000,1.766,1.766,1.766,1.766,0,0
CNOCNYON,D,20200901,000000,2.104,2.104,2.104,2.104,0,0
CNOCNYON,D,20200902,000000,2.094,2.094,2.094,2.094,0,0
CNOCNYON,D,20200903,000000,1.742,1.742,1.742,1.742,0,0
CNOCNYON,D,20200904,000000,2.052,2.052,2.052,2.052,0,0
CNOCNYON,D,20200907,000000,2.088,2.088,2.088,2.088,0,0
CNOCNYON,D,20200908,000000,2.051,2.051,2.051,2.051,0,0
CNOCNYON,D,20200909,000000,1.607,1.607,1.607,1.607,0,0
CNOCNYON,D,20200910,000000,1.34,1.34,1.34,1.34,0,0
CNOCNYON,D,20200911,000000,1.464,1.464,1.464,1.464,0,0
CNOCNYON,D,20200914,000000,1.607,1.607,1.607,1.607,0,0
CNOCNYON,D,20200915,000000,1.731,1.731,1.731,1.731,0,0
CNOCNYON,D,20200916,000000,1.404,1.404,1.404,1.404,0,0
CNOCNYON,D,20200917,000000,1.769,1.769,1.769,1.769,0,0
CNOCNYON,D,20200918,000000,2.101,2.101,2.101,2.101,0,0
CNOCNYON,D,20200921,000000,2.204,2.204,2.204,2.204,0,0
CNOCNYON,D,20200922,000000,2.286,2.286,2.286,2.286,0,0
CNOCNYON,D,20200923,000000,1.884,1.884,1.884,1.884,0,0
CNOCNYON,D,20200924,000000,1.424,1.424,1.424,1.424,0,0
CNOCNYON,D,20200925,000000,1.113,1.113,1.113,1.113,0,0
CNOCNYON,D,20200928,000000,0.602,0.602,0.602,0.602,0,0
CNOCNYON,D,20200929,000000,0.913,0.913,0.913,0.913,0,0
CNOCNYON,D,20200930,000000,2.361,2.361,2.361,2.361,0,0
CNOCNYON,D,20201009,000000,2.038,2.038,2.038,2.038,0,0
CNOCNYON,D,20201012,000000,1.53,1.53,1.53,1.53,0,0
CNOCNYON,D,20201013,000000,1.7,1.7,1.7,1.7,0,0
CNOCNYON,D,20201014,000000,1.962,1.962,1.962,1.962,0,0
CNOCNYON,D,20201015,000000,2.063,2.063,2.063,2.063,0,0
CNOCNYON,D,20201016,000000,2.017,2.017,2.017,2.017,0,0
CNOCNYON,D,20201019,000000,2.187,2.187,2.187,2.187,0,0
CNOCNYON,D,20201020,000000,2.162,2.162,2.162,2.162,0,0
CNOCNYON,D,20201021,000000,1.988,1.988,1.988,1.988,0,0
CNOCNYON,D,20201022,000000,1.911,1.911,1.911,1.911,0,0
CNOCNYON,D,20201023,000000,2.161,2.161,2.161,2.161,0,0
CNOCNYON,D,20201026,000000,2.18,2.18,2.18,2.18,0,0
CNOCNYON,D,20201027,000000,2.38,2.38,2.38,2.38,0,0
CNOCNYON,D,20201028,000000,2.379,2.379,2.379,2.379,0,0
CNOCNYON,D,20201029,000000,2.125,2.125,2.125,2.125,0,0
CNOCNYON,D,20201030,000000,2.236,2.236,2.236,2.236,0,0
CNOCNYON,D,20201102,000000,2.322,2.322,2.322,2.322,0,0
CNOCNYON,D,20201103,000000,1.868,1.868,1.868,1.868,0,0
CNOCNYON,D,20201104,000000,1.449,1.449,1.449,1.449,0,0
CNOCNYON,D,20201105,000000,1.377,1.377,1.377,1.377,0,0
CNOCNYON,D,20201106,000000,1.79,1.79,1.79,1.79,0,0
CNOCNYON,D,20201109,000000,2.193,2.193,2.193,2.193,0,0
CNOCNYON,D,20201110,000000,2.333,2.333,2.333,2.333,0,0
CNOCNYON,D,20201111,000000,2.314,2.314,2.314,2.314,0,0
CNOCNYON,D,20201112,000000,2.521,2.521,2.521,2.521,0,0
CNOCNYON,D,20201113,000000,2.523,2.523,2.523,2.523,0,0
CNOCNYON,D,20201116,000000,2.252,2.252,2.252,2.252,0,0
CNOCNYON,D,20201117,000000,1.798,1.798,1.798,1.798,0,0
CNOCNYON,D,20201118,000000,1.72,1.72,1.72,1.72,0,0
CNOCNYON,D,20201119,000000,1.918,1.918,1.918,1.918,0,0
CNOCNYON,D,20201120,000000,1.959,1.959,1.959,1.959,0,0
CNOCNYON,D,20201123,000000,1.839,1.839,1.839,1.839,0,0
CNOCNYON,D,20201124,000000,1.828,1.828,1.828,1.828,0,0
CNOCNYON,D,20201125,000000,1.578,1.578,1.578,1.578,0,0
CNOCNYON,D,20201126,000000,1.298,1.298,1.298,1.298,0,0
CNOCNYON,D,20201127,000000,0.836,0.836,0.836,0.836,0,0
CNOCNYON,D,20201130,000000,1.115,1.115,1.115,1.115,0,0
CNOCNYON,D,20201201,000000,0.764,0.764,0.764,0.764,0,0
CNOCNYON,D,20201202,000000,0.742,0.742,0.742,0.742,0,0
CNOCNYON,D,20201203,000000,0.901,0.901,0.901,0.901,0,0
CNOCNYON,D,20201204,000000,1.086,1.086,1.086,1.086,0,0
CNOCNYON,D,20201207,000000,1.366,1.366,1.366,1.366,0,0
CNOCNYON,D,20201208,000000,1.302,1.302,1.302,1.302,0,0
CNOCNYON,D,20201209,000000,1.065,1.065,1.065,1.065,0,0
CNOCNYON,D,20201210,000000,0.979,0.979,0.979,0.979,0,0
CNOCNYON,D,20201211,000000,1.431,1.431,1.431,1.431,0,0
CNOCNYON,D,20201214,000000,1.702,1.702,1.702,1.702,0,0
CNOCNYON,D,20201215,000000,1.403,1.403,1.403,1.403,0,0
CNOCNYON,D,20201216,000000,0.974,0.974,0.974,0.974,0,0
CNOCNYON,D,20201217,000000,1.356,1.356,1.356,1.356,0,0
CNOCNYON,D,20201218,000000,1.723,1.723,1.723,1.723,0,0
CNOCNYON,D,20201221,000000,1.489,1.489,1.489,1.489,0,0
CNOCNYON,D,20201222,000000,1.015,1.015,1.015,1.015,0,0
CNOCNYON,D,20201223,000000,0.623,0.623,0.623,0.623,0,0
CNOCNYON,D,20201224,000000,0.609,0.609,0.609,0.609,0,0
CNOCNYON,D,20201225,000000,0.793,0.793,0.793,0.793,0,0
CNOCNYON,D,20201228,000000,0.673,0.673,0.673,0.673,0,0
CNOCNYON,D,20201229,000000,0.624,0.624,0.624,0.624,0,0
CNOCNYON,D,20201230,000000,0.644,0.644,0.644,0.644,0,0
