<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKOHKD1M,D,20200402,000000,1.84839,1.84839,1.84839,1.84839,0,0
HKOHKD1M,D,20200403,000000,1.85446,1.85446,1.85446,1.85446,0,0
HKOHKD1M,D,20200406,000000,1.83655,1.83655,1.83655,1.83655,0,0
HKOHKD1M,D,20200407,000000,1.78774,1.78774,1.78774,1.78774,0,0
HKOHKD1M,D,20200408,000000,1.67994,1.67994,1.67994,1.67994,0,0
HKOHKD1M,D,20200409,000000,1.62667,1.62667,1.62667,1.62667,0,0
HKOHKD1M,D,20200414,000000,1.59625,1.59625,1.59625,1.59625,0,0
HKOHKD1M,D,20200415,000000,1.59911,1.59911,1.59911,1.59911,0,0
HKOHKD1M,D,20200416,000000,1.56316,1.56316,1.56316,1.56316,0,0
HKOHKD1M,D,20200417,000000,1.57714,1.57714,1.57714,1.57714,0,0
HKOHKD1M,D,20200420,000000,1.55304,1.55304,1.55304,1.55304,0,0
HKOHKD1M,D,20200421,000000,1.58941,1.58941,1.58941,1.58941,0,0
HKOHKD1M,D,20200422,000000,1.54595,1.54595,1.54595,1.54595,0,0
HKOHKD1M,D,20200423,000000,1.54524,1.54524,1.54524,1.54524,0,0
HKOHKD1M,D,20200424,000000,1.52875,1.52875,1.52875,1.52875,0,0
HKOHKD1M,D,20200427,000000,1.45887,1.45887,1.45887,1.45887,0,0
HKOHKD1M,D,20200428,000000,1.23179,1.23179,1.23179,1.23179,0,0
HKOHKD1M,D,20200429,000000,1.14839,1.14839,1.14839,1.14839,0,0
HKOHKD1M,D,20200504,000000,1.06125,1.06125,1.06125,1.06125,0,0
HKOHKD1M,D,20200505,000000,0.86339,0.86339,0.86339,0.86339,0,0
HKOHKD1M,D,20200506,000000,0.84595,0.84595,0.84595,0.84595,0,0
HKOHKD1M,D,20200507,000000,0.83393,0.83393,0.83393,0.83393,0,0
HKOHKD1M,D,20200508,000000,0.84381,0.84381,0.84381,0.84381,0,0
HKOHKD1M,D,20200511,000000,0.74875,0.74875,0.74875,0.74875,0,0
