<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAPP.US,D,20210415,000000,33.86,34.1999,31.65,32.69,330908,0
DAPP.US,D,20210416,000000,31.86,32.0299,30.8501,31.77,125592,0
DAPP.US,D,20210419,000000,30.25,30.5669,28.52,29.53,216843,0
DAPP.US,D,20210420,000000,29.3,29.3,27.677,28.84,85036,0
DAPP.US,D,20210421,000000,28.4,30.28,27.84,29.97,147698,0
DAPP.US,D,20210422,000000,30.27,30.5999,28.28,28.365,79735,0
DAPP.US,D,20210423,000000,26.91,28.942,26.91,28.82,72349,0
DAPP.US,D,20210426,000000,29.94,30.53,29.6811,30.4157,113959,0
DAPP.US,D,20210427,000000,30.94,31.1,30.19,30.425,59079,0
DAPP.US,D,20210428,000000,30.46,30.91,30.0704,30.77,39823,0
DAPP.US,D,20210429,000000,30.83,30.83,29.36,29.58,92568,0
DAPP.US,D,20210430,000000,29.76,30.7484,29.6,30.62,48038,0
DAPP.US,D,20210503,000000,31.36,31.6437,30.28,30.4628,60080,0
DAPP.US,D,20210504,000000,29.7,29.7,28.14,28.9,92024,0
DAPP.US,D,20210505,000000,29.47,30.1114,29.1087,29.19,36154,0
DAPP.US,D,20210506,000000,29.28,29.28,27.27,28.01,94584,0
DAPP.US,D,20210507,000000,28.49,28.825,28.2,28.41,34646,0
DAPP.US,D,20210510,000000,28.35,28.35,26.7,26.76,86815,0
DAPP.US,D,20210511,000000,25.61,26.82,24.89,26.6091,70255,0
DAPP.US,D,20210512,000000,26.1,26.77,24.91,24.955,60029,0
DAPP.US,D,20210513,000000,24.53,25.18,22.618,23.15,75286,0
DAPP.US,D,20210514,000000,24.25,25.26,24.2,25.13,70532,0
DAPP.US,D,20210517,000000,24.22,24.424,23.62,24.36,66838,0
DAPP.US,D,20210518,000000,24.41,24.965,24.04,24.2855,86547,0
DAPP.US,D,20210519,000000,22.25,23.3499,21.5901,23.2264,80392,0
DAPP.US,D,20210520,000000,24.23,24.4876,23.49,24.0243,40735,0
DAPP.US,D,20210521,000000,24.32,24.5,22.82,22.8963,55205,0
DAPP.US,D,20210524,000000,23.36,23.7299,22.8028,23.71,114833,0
DAPP.US,D,20210525,000000,23.46,24.2182,23.46,23.91,33513,0
DAPP.US,D,20210526,000000,24.75,25.42,24.42,25.1922,77173,0
DAPP.US,D,20210527,000000,25.73,25.9365,25.2052,25.6847,67434,0
DAPP.US,D,20210528,000000,25.41,25.4608,24.88,24.88,42945,0
DAPP.US,D,20210601,000000,25.12,25.575,25.12,25.32,29648,0
DAPP.US,D,20210602,000000,25.72,25.7582,25.34,25.6798,35838,0
DAPP.US,D,20210603,000000,25.73,25.73,25.07,25.1494,13350,0
DAPP.US,D,20210604,000000,24.96,25.3,24.85,25.2414,22369,0
DAPP.US,D,20210607,000000,25.18,25.24,24.77,24.8,47225,0
DAPP.US,D,20210608,000000,24.32,24.32,23.05,23.8516,49102,0
DAPP.US,D,20210609,000000,24.33,25.315,24.102,24.96,17769,0
DAPP.US,D,20210610,000000,25.33,25.499,24.7982,25.0803,17601,0
DAPP.US,D,20210611,000000,25.1,25.12,24.485,24.61,10269,0
DAPP.US,D,20210614,000000,25.5,26.8399,25.5,26.16,45484,0
DAPP.US,D,20210615,000000,26.51,26.5693,25.75,26.2038,28020,0
DAPP.US,D,20210616,000000,26.09,26.09,25.2244,25.4742,21539,0
DAPP.US,D,20210617,000000,25.45,26.25,25.27,25.9028,40473,0
DAPP.US,D,20210618,000000,25.58,25.86,25,25.2103,28341,0
DAPP.US,D,20210621,000000,24.34,24.46,24.015,24.2515,50617,0
DAPP.US,D,20210622,000000,23.2,23.98,22.1907,23.92,73188,0
DAPP.US,D,20210623,000000,24.41,24.84,24.2365,24.2365,32185,0
DAPP.US,D,20210624,000000,24.4,25.06,24.4,24.9696,15494,0
DAPP.US,D,20210625,000000,24.69,24.69,24.03,24.1953,33619,0
DAPP.US,D,20210628,000000,24.71,25.4459,24.6,25.2712,33864,0
DAPP.US,D,20210629,000000,25.82,26.575,25.82,26.22,22684,0
DAPP.US,D,20210630,000000,25.57,26.47,25.455,26.0773,25727,0
DAPP.US,D,20210701,000000,25.95,25.9799,25.455,25.59,19183,0
DAPP.US,D,20210702,000000,25.83,25.83,25.46,25.51,14156,0
DAPP.US,D,20210706,000000,25.92,25.92,25.28,25.4825,12631,0
DAPP.US,D,20210707,000000,25.75,25.75,24.81,25.1143,18868,0
DAPP.US,D,20210708,000000,24.04,24.1,23.44,23.92,33677,0
DAPP.US,D,20210709,000000,24.07,24.9625,24.035,24.36,17745,0
