<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APGB-U.US,D,20210211,000000,10.69,10.74,10.6,10.6,1068629,0
APGB-U.US,D,20210212,000000,10.7,10.71,10.59,10.64,1218615,0
APGB-U.US,D,20210216,000000,10.7,10.74,10.64,10.68,2012148,0
APGB-U.US,D,20210217,000000,10.65,10.7194,10.63,10.65,950694,0
APGB-U.US,D,20210218,000000,10.67,10.67,10.59,10.6,824280,0
APGB-U.US,D,20210219,000000,10.63,10.75,10.613,10.74,1032368,0
APGB-U.US,D,20210222,000000,10.92,10.96,10.74,10.74,281657,0
APGB-U.US,D,20210223,000000,10.65,10.65,10.5,10.58,611346,0
APGB-U.US,D,20210224,000000,10.59,10.64,10.55,10.59,897801,0
APGB-U.US,D,20210225,000000,10.59,10.59,10.45,10.5,752681,0
APGB-U.US,D,20210226,000000,10.5,10.51,10.36,10.38,572048,0
APGB-U.US,D,20210301,000000,10.5,10.53,10.35,10.4,670005,0
APGB-U.US,D,20210302,000000,10.55,10.55,10.14,10.22,1761106,0
APGB-U.US,D,20210303,000000,10.25,10.38,10.18,10.2,405869,0
APGB-U.US,D,20210304,000000,10.13,10.18,10.05,10.18,1460923,0
APGB-U.US,D,20210305,000000,10.13,10.25,10.1,10.18,375081,0
APGB-U.US,D,20210308,000000,10.2,10.3193,10.19,10.25,191572,0
APGB-U.US,D,20210309,000000,10.3,10.3327,10.245,10.27,140692,0
APGB-U.US,D,20210310,000000,10.27,10.2999,10.17,10.17,278277,0
APGB-U.US,D,20210311,000000,10.17,10.23,10.13,10.23,234894,0
APGB-U.US,D,20210312,000000,10.21,10.25,10.18,10.21,107018,0
APGB-U.US,D,20210315,000000,10.25,10.29,10.19,10.21,376575,0
APGB-U.US,D,20210316,000000,10.1999,10.2,10.13,10.13,31926,0
APGB-U.US,D,20210317,000000,10.25,10.25,10.16,10.18,82388,0
APGB-U.US,D,20210318,000000,10.3,10.3,10.06,10.06,34825,0
APGB-U.US,D,20210319,000000,10.09,10.1199,10.06,10.0701,466063,0
APGB-U.US,D,20210322,000000,10.05,10.085,10.005,10.01,1258611,0
APGB-U.US,D,20210323,000000,10,10.01,9.9,9.94,681060,0
APGB-U.US,D,20210324,000000,9.95,9.98,9.91,9.94,725101,0
APGB-U.US,D,20210325,000000,9.73,10.02,9.73,9.97,632188,0
APGB-U.US,D,20210326,000000,9.94,10.08,9.87,10.03,824385,0
APGB-U.US,D,20210329,000000,9.93,9.99,9.9013,9.99,42842,0
APGB-U.US,D,20210330,000000,9.96,9.98,9.945,9.97,1003611,0
APGB-U.US,D,20210331,000000,9.98,9.99,9.96,9.98,207854,0
APGB-U.US,D,20210401,000000,10,10.015,9.97,10.01,382552,0
APGB-U.US,D,20210405,000000,10.04,10.04,9.985,10,155227,0
APGB-U.US,D,20210406,000000,9.98,10.07,9.98,10.06,324886,0
APGB-U.US,D,20210407,000000,10.01,10.08,10.01,10.08,873386,0
APGB-U.US,D,20210408,000000,10.08,10.08,10.05,10.08,321292,0
APGB-U.US,D,20210409,000000,10.05,10.08,10.01,10.08,1042160,0
APGB-U.US,D,20210412,000000,10.1,10.1,10,10.09,164433,0
APGB-U.US,D,20210413,000000,10.06,10.15,10.06,10.1,110632,0
APGB-U.US,D,20210414,000000,10.14,10.17,10.11,10.11,39684,0
APGB-U.US,D,20210415,000000,10.11,10.15,10.0914,10.13,17139,0
APGB-U.US,D,20210416,000000,10.11,10.13,10.1,10.1,9625,0
APGB-U.US,D,20210419,000000,10.06,10.11,9.9986,10.04,418886,0
APGB-U.US,D,20210420,000000,10.05,10.05,10,10.03,24275,0
APGB-U.US,D,20210421,000000,10.03,10.05,10.025,10.05,51403,0
APGB-U.US,D,20210422,000000,10,10.04,10,10.03,55153,0
APGB-U.US,D,20210423,000000,10.04,10.08,10.01,10.05,84075,0
APGB-U.US,D,20210426,000000,10.01,10.03,10,10.01,28331,0
APGB-U.US,D,20210427,000000,10,10.05,10,10.02,45178,0
APGB-U.US,D,20210428,000000,10.03,10.04,10.03,10.04,5884,0
APGB-U.US,D,20210429,000000,10.0524,10.07,10.0301,10.0301,7125,0
APGB-U.US,D,20210430,000000,10,10.02,9.9799,10.0017,194157,0
APGB-U.US,D,20210503,000000,9.97,10.1,9.97,10.06,668166,0
APGB-U.US,D,20210504,000000,9.98,10.15,9.98,10.05,44128,0
APGB-U.US,D,20210505,000000,10.01,10.08,10.01,10.08,82250,0
APGB-U.US,D,20210506,000000,10.04,10.07,10.03,10.04,400022,0
APGB-U.US,D,20210507,000000,10.04,10.0501,10.02,10.02,39838,0
APGB-U.US,D,20210510,000000,10.01,10.08,10.01,10.03,29492,0
APGB-U.US,D,20210511,000000,10.01,10.08,10,10.0595,62794,0
APGB-U.US,D,20210512,000000,10.05,10.08,10.04,10.08,26303,0
APGB-U.US,D,20210513,000000,9.98,10.06,9.98,10.06,8540,0
APGB-U.US,D,20210514,000000,10,10.01,9.9891,10,20238,0
APGB-U.US,D,20210517,000000,10,10.035,9.98,10,141521,0
APGB-U.US,D,20210518,000000,9.9851,10.03,9.9801,10,54386,0
APGB-U.US,D,20210519,000000,9.97,10.02,9.97,10.02,126161,0
APGB-U.US,D,20210520,000000,10.02,10.025,10,10,18707,0
APGB-U.US,D,20210521,000000,10.02,10.02,9.99,9.99,108005,0
APGB-U.US,D,20210524,000000,10,10.01,9.98,10,299180,0
APGB-U.US,D,20210525,000000,9.994,10,9.98,10,107435,0
APGB-U.US,D,20210526,000000,9.99,10,9.98,10,258680,0
APGB-U.US,D,20210527,000000,9.99,10,9.99,10,38767,0
APGB-U.US,D,20210528,000000,10,10.01,9.99,10,252753,0
APGB-U.US,D,20210601,000000,10,10,9.9872,10,158153,0
APGB-U.US,D,20210602,000000,10,10.04,9.98,10,273671,0
APGB-U.US,D,20210603,000000,10,10.02,9.97,10,413857,0
APGB-U.US,D,20210604,000000,10,10,9.98,10,84591,0
APGB-U.US,D,20210607,000000,9.9703,10,9.9703,10,23519,0
APGB-U.US,D,20210608,000000,10,10.06,10,10.04,537783,0
APGB-U.US,D,20210609,000000,10.04,10.04,10.0152,10.02,82104,0
APGB-U.US,D,20210610,000000,10.031,10.031,10.02,10.03,8910,0
APGB-U.US,D,20210611,000000,10.04,10.07,10.03,10.07,59901,0
