<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTOC.US,D,20210519,000000,9.66,10,9.63,10,1277,0
DTOC.US,D,20210520,000000,9.6401,9.6401,9.6401,9.6401,158,0
DTOC.US,D,20210526,000000,10.3,10.3,9.67,9.69,9514,0
DTOC.US,D,20210602,000000,9.95,9.95,9.93,9.93,13805,0
DTOC.US,D,20210608,000000,9.93,9.93,9.855,9.855,256,0
DTOC.US,D,20210609,000000,9.9,9.9,9.86,9.86,1100,0
DTOC.US,D,20210611,000000,9.78,9.78,9.78,9.78,929,0
DTOC.US,D,20210615,000000,9.9122,9.9122,9.78,9.78,759,0
DTOC.US,D,20210616,000000,9.8,9.8,9.8,9.8,142,0
DTOC.US,D,20210621,000000,9.69,9.7,9.64,9.7,1713,0
DTOC.US,D,20210623,000000,9.78,9.78,9.77,9.77,310,0
DTOC.US,D,20210624,000000,9.77,9.77,9.73,9.73,2853,0
DTOC.US,D,20210628,000000,9.7,9.7,9.7,9.7,2007,0
DTOC.US,D,20210629,000000,9.7,9.72,9.7,9.7,31260,0
DTOC.US,D,20210630,000000,9.7,9.74,9.7,9.74,761,0
DTOC.US,D,20210701,000000,9.7,9.95,9.7,9.7,30757,0
DTOC.US,D,20210702,000000,9.78,9.78,9.78,9.78,790,0
DTOC.US,D,20210707,000000,9.7,9.7755,9.7,9.71,4857,0
DTOC.US,D,20210709,000000,9.71,9.735,9.71,9.735,4492,0
