<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARRWW.US,D,20210427,000000,0.73,0.73,0.6499,0.7,968,0
ARRWW.US,D,20210428,000000,0.6003,0.7,0.549899,0.6501,44011,0
ARRWW.US,D,20210429,000000,0.6501,0.6501,0.6,0.6499,24271,0
ARRWW.US,D,20210430,000000,0.64,0.64,0.61,0.61,10616,0
ARRWW.US,D,20210503,000000,0.6,0.61495,0.5101,0.5101,1510,0
ARRWW.US,D,20210504,000000,0.5001,0.54,0.488175,0.49,354410,0
ARRWW.US,D,20210505,000000,0.5444,0.56,0.5299,0.5591,87384,0
ARRWW.US,D,20210506,000000,0.5601,0.562341,0.55,0.55,50820,0
ARRWW.US,D,20210507,000000,0.59,0.59,0.55,0.5575,40244,0
ARRWW.US,D,20210510,000000,0.5632,0.565,0.55,0.55,21700,0
ARRWW.US,D,20210511,000000,0.530101,0.5623,0.5174,0.549001,39605,0
ARRWW.US,D,20210512,000000,0.52,0.52,0.5125,0.52,54078,0
ARRWW.US,D,20210513,000000,0.515,0.5175,0.509399,0.511223,27250,0
ARRWW.US,D,20210514,000000,0.5251,0.5251,0.515,0.51505,5000,0
ARRWW.US,D,20210517,000000,0.530101,0.549919,0.499899,0.5498,80485,0
ARRWW.US,D,20210518,000000,0.500201,0.5276,0.500201,0.51,10745,0
ARRWW.US,D,20210519,000000,0.5,0.529951,0.4971,0.529951,61826,0
ARRWW.US,D,20210520,000000,0.5,0.5,0.4976,0.5,45899,0
ARRWW.US,D,20210521,000000,0.5,0.5,0.497499,0.5,54000,0
ARRWW.US,D,20210524,000000,0.52,0.55195,0.52,0.5499,70218,0
ARRWW.US,D,20210525,000000,0.54,0.5481,0.5001,0.54,29989,0
ARRWW.US,D,20210526,000000,0.5,0.5498,0.5,0.53,101133,0
ARRWW.US,D,20210527,000000,0.5591,0.56,0.54451,0.5599,77143,0
ARRWW.US,D,20210528,000000,0.5201,0.58,0.52,0.5797,6638,0
ARRWW.US,D,20210601,000000,0.570101,0.570181,0.56,0.56,10233,0
ARRWW.US,D,20210602,000000,0.5798,0.5798,0.5201,0.5777,41970,0
ARRWW.US,D,20210604,000000,0.5458,0.5794,0.517,0.56,171306,0
ARRWW.US,D,20210607,000000,0.575,0.5796,0.57,0.575,33411,0
ARRWW.US,D,20210608,000000,0.5549,0.5549,0.5549,0.5549,1000,0
ARRWW.US,D,20210609,000000,0.599799,0.599799,0.561201,0.599699,4800,0
ARRWW.US,D,20210610,000000,0.5996,0.6343,0.5901,0.6218,38358,0
ARRWW.US,D,20210611,000000,0.6701,0.69,0.64,0.67,6418,0
ARRWW.US,D,20210614,000000,0.7,0.7,0.68,0.69,4571,0
ARRWW.US,D,20210615,000000,0.7,0.75,0.7,0.7,38353,0
ARRWW.US,D,20210616,000000,0.6801,0.7,0.67,0.68,274441,0
ARRWW.US,D,20210617,000000,0.700101,0.700101,0.6999,0.7,13599,0
ARRWW.US,D,20210618,000000,0.7,0.7353,0.694299,0.7,249841,0
ARRWW.US,D,20210621,000000,0.7,0.7166,0.699751,0.71,130336,0
ARRWW.US,D,20210622,000000,0.7,0.7,0.7,0.7,881,0
ARRWW.US,D,20210623,000000,0.7,0.755,0.69,0.75,124192,0
ARRWW.US,D,20210624,000000,0.7,0.74,0.7,0.74,269966,0
ARRWW.US,D,20210625,000000,0.7399,0.7799,0.739206,0.7799,22659,0
ARRWW.US,D,20210628,000000,0.7799,1.05,0.77,0.84,187928,0
ARRWW.US,D,20210629,000000,0.800201,0.84,0.8,0.84,11410,0
ARRWW.US,D,20210630,000000,0.81,0.86,0.7301,0.86,6677,0
ARRWW.US,D,20210701,000000,0.81,0.84,0.7401,0.84,6235,0
ARRWW.US,D,20210702,000000,0.7702,0.83,0.75,0.83,21948,0
ARRWW.US,D,20210706,000000,0.8799,0.8799,0.8799,0.8799,1600,0
ARRWW.US,D,20210707,000000,0.8299,0.88,0.8299,0.88,3639,0
ARRWW.US,D,20210708,000000,0.779899,0.88,0.779899,0.88,96677,0
ARRWW.US,D,20210709,000000,0.8999,0.8999,0.7751,0.87,46684,0
