<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCAC.US,D,20210223,000000,10.19,10.48,10.19,10.19,51351,0
BCAC.US,D,20210224,000000,10.35,10.86,10.21,10.7,61184,0
BCAC.US,D,20210225,000000,10.51,10.84,10.33,10.35,18320,0
BCAC.US,D,20210226,000000,10.3,10.69,10.11,10.11,29759,0
BCAC.US,D,20210301,000000,10.1,10.28,10.1,10.1799,19379,0
BCAC.US,D,20210302,000000,10.11,10.12,10,10.12,12922,0
BCAC.US,D,20210303,000000,10,10.25,10,10.07,28365,0
BCAC.US,D,20210304,000000,10.16,10.16,9.89,9.9064,51540,0
BCAC.US,D,20210305,000000,9.86,10.045,9.86,10.045,26859,0
BCAC.US,D,20210308,000000,10.01,10.1999,10,10.0166,13025,0
BCAC.US,D,20210309,000000,10.03,10.0317,9.9122,9.94,14701,0
BCAC.US,D,20210310,000000,9.975,9.975,9.95,9.95,18626,0
BCAC.US,D,20210311,000000,9.9301,9.97,9.8612,9.97,7997,0
BCAC.US,D,20210312,000000,9.87,10,9.87,10,9344,0
BCAC.US,D,20210315,000000,9.9,9.95,9.9,9.91,20578,0
BCAC.US,D,20210316,000000,9.91,9.9698,9.91,9.9401,10183,0
BCAC.US,D,20210317,000000,9.91,9.91,9.77,9.82,24940,0
BCAC.US,D,20210318,000000,9.7901,9.85,9.79,9.8,10799,0
BCAC.US,D,20210319,000000,9.79,9.84,9.79,9.82,17091,0
BCAC.US,D,20210322,000000,9.8,9.84,9.8,9.81,8104,0
BCAC.US,D,20210323,000000,9.7963,9.8424,9.79,9.79,10483,0
BCAC.US,D,20210324,000000,9.85,9.85,9.11,9.76,10001,0
BCAC.US,D,20210325,000000,9.7067,9.7739,9.55,9.7307,28503,0
BCAC.US,D,20210326,000000,9.74,9.85,9.73,9.84,437291,0
BCAC.US,D,20210329,000000,9.81,9.8471,9.8,9.845,10277,0
BCAC.US,D,20210330,000000,9.83,9.866,9.79,9.82,16928,0
BCAC.US,D,20210331,000000,9.82,9.855,9.82,9.8302,7160,0
BCAC.US,D,20210401,000000,9.82,9.86,9.7596,9.85,8160,0
BCAC.US,D,20210405,000000,9.86,9.88,9.85,9.87,16316,0
BCAC.US,D,20210406,000000,9.88,9.895,9.86,9.895,32503,0
BCAC.US,D,20210407,000000,9.89,9.895,9.8701,9.89,20776,0
BCAC.US,D,20210408,000000,9.85,9.99,9.85,9.99,10015,0
BCAC.US,D,20210412,000000,9.89,9.9,9.88,9.88,12510,0
BCAC.US,D,20210413,000000,9.9,9.94,9.9,9.9,7959,0
BCAC.US,D,20210414,000000,9.91,9.93,9.9,9.9001,9908,0
BCAC.US,D,20210415,000000,9.9211,9.9211,9.89,9.8901,9284,0
BCAC.US,D,20210416,000000,9.89,9.9429,9.89,9.9,4615,0
BCAC.US,D,20210419,000000,9.93,9.93,9.89,9.9,5736,0
BCAC.US,D,20210420,000000,9.9,9.93,9.89,9.9071,15124,0
BCAC.US,D,20210421,000000,9.9,9.9,9.84,9.86,5635,0
BCAC.US,D,20210422,000000,9.88,9.91,9.88,9.91,11505,0
BCAC.US,D,20210423,000000,9.92,9.92,9.8883,9.9,3218,0
BCAC.US,D,20210426,000000,9.8874,9.89,9.86,9.8601,6003,0
BCAC.US,D,20210427,000000,9.86,9.8873,9.86,9.8873,4965,0
BCAC.US,D,20210428,000000,9.86,9.88,9.85,9.87,17388,0
BCAC.US,D,20210429,000000,9.92,9.92,9.87,9.89,14770,0
BCAC.US,D,20210430,000000,9.88,9.9,9.88,9.89,10244,0
BCAC.US,D,20210503,000000,9.89,9.9,9.89,9.89,48933,0
BCAC.US,D,20210504,000000,9.93,9.93,9.89,9.9,14914,0
BCAC.US,D,20210505,000000,9.9,9.98,9.9,9.98,32145,0
BCAC.US,D,20210506,000000,9.87,9.9302,9.8601,9.905,12952,0
BCAC.US,D,20210507,000000,9.925,9.925,9.88,9.9,13153,0
BCAC.US,D,20210510,000000,9.9,9.92,9.88,9.9,17800,0
BCAC.US,D,20210511,000000,9.891,9.891,9.87,9.87,11111,0
BCAC.US,D,20210512,000000,9.85,9.9,9.85,9.9,25048,0
BCAC.US,D,20210513,000000,9.86,9.8968,9.86,9.88,19290,0
BCAC.US,D,20210514,000000,9.88,9.9029,9.8601,9.9,34335,0
BCAC.US,D,20210517,000000,9.88,9.9,9.88,9.9,3407,0
BCAC.US,D,20210518,000000,9.89,9.9102,9.89,9.91,8908,0
BCAC.US,D,20210519,000000,9.91,9.915,9.9,9.9,9608,0
BCAC.US,D,20210520,000000,9.91,9.93,9.88,9.88,45273,0
BCAC.US,D,20210521,000000,9.91,9.93,9.87,9.89,46434,0
BCAC.US,D,20210524,000000,9.89,9.9,9.89,9.9,8977,0
BCAC.US,D,20210525,000000,9.905,9.91,9.9,9.9001,5866,0
BCAC.US,D,20210526,000000,9.9,9.97,9.89,9.96,26133,0
BCAC.US,D,20210527,000000,9.91,9.9385,9.9006,9.91,8813,0
BCAC.US,D,20210528,000000,9.9,9.92,9.9,9.9101,6672,0
BCAC.US,D,20210601,000000,9.9,9.92,9.9,9.9,4674,0
BCAC.US,D,20210602,000000,9.9,9.92,9.9,9.91,3307,0
BCAC.US,D,20210603,000000,9.925,9.925,9.925,9.925,124,0
BCAC.US,D,20210604,000000,9.91,9.9201,9.9,9.92,10214,0
BCAC.US,D,20210607,000000,9.9,9.91,9.9,9.91,18576,0
BCAC.US,D,20210608,000000,9.93,9.93,9.91,9.91,6405,0
BCAC.US,D,20210609,000000,9.9201,9.96,9.9201,9.96,7064,0
BCAC.US,D,20210610,000000,9.9468,9.97,9.9101,9.96,1608,0
BCAC.US,D,20210611,000000,9.955,9.98,9.955,9.97,4111,0
BCAC.US,D,20210614,000000,9.98,9.98,9.91,9.91,7088,0
BCAC.US,D,20210615,000000,9.91,9.95,9.91,9.94,2483,0
BCAC.US,D,20210616,000000,9.9172,9.9622,9.9172,9.96,3824,0
BCAC.US,D,20210617,000000,9.96,9.96,9.94,9.945,5298,0
BCAC.US,D,20210618,000000,9.95,9.95,9.91,9.93,6749,0
BCAC.US,D,20210621,000000,9.92,9.92,9.91,9.91,11428,0
BCAC.US,D,20210622,000000,9.9,9.92,9.88,9.891,29216,0
BCAC.US,D,20210623,000000,9.88,9.93,9.88,9.9097,2354,0
BCAC.US,D,20210624,000000,9.9,9.9,9.8703,9.876,1299,0
BCAC.US,D,20210625,000000,9.87,9.9046,9.87,9.8701,2352,0
BCAC.US,D,20210628,000000,9.9,9.93,9.86,9.86,14410,0
BCAC.US,D,20210629,000000,9.86,9.915,9.86,9.9,19165,0
BCAC.US,D,20210630,000000,9.88,9.9246,9.88,9.9246,21534,0
BCAC.US,D,20210701,000000,9.915,9.915,9.9,9.9,7714,0
BCAC.US,D,20210702,000000,9.9101,9.9352,9.9101,9.925,1647,0
BCAC.US,D,20210706,000000,9.9,10,9.86,9.9006,21840,0
BCAC.US,D,20210707,000000,9.9,9.97,9.9,9.93,3509,0
BCAC.US,D,20210708,000000,9.9001,10,9.9001,9.96,3522,0
BCAC.US,D,20210709,000000,9.9,9.935,9.9,9.91,3015,0
