<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRSRU.US,D,20210111,000000,10.7,10.7,10.55,10.55,291969,0
PRSRU.US,D,20210112,000000,10.64,10.7,10.51,10.51,275621,0
PRSRU.US,D,20210113,000000,10.65,10.71,10.6,10.63,1185902,0
PRSRU.US,D,20210114,000000,11.1375,11.49,11,11.1,2429582,0
PRSRU.US,D,20210115,000000,11.47,11.47,11,11.09,1258488,0
PRSRU.US,D,20210119,000000,11.4,11.929,11.2,11.28,882519,0
PRSRU.US,D,20210120,000000,11.47,11.47,11.273,11.31,328171,0
PRSRU.US,D,20210121,000000,11.5,11.5,11.4,11.46,237818,0
PRSRU.US,D,20210122,000000,11.39,11.5,11.28,11.4,270439,0
PRSRU.US,D,20210125,000000,11.6,11.85,11.485,11.54,323577,0
PRSRU.US,D,20210126,000000,11.54,11.67,11.22,11.25,362375,0
PRSRU.US,D,20210127,000000,11.31,11.515,10.95,10.98,797004,0
PRSRU.US,D,20210128,000000,11.96,11.96,10.96,11,404704,0
PRSRU.US,D,20210129,000000,11.01,11.37,10.75,11.05,759354,0
PRSRU.US,D,20210201,000000,11.34,11.34,10.99,11.03,213194,0
PRSRU.US,D,20210202,000000,11.22,11.27,11.03,11.05,99764,0
PRSRU.US,D,20210203,000000,11.14,11.27,11.09,11.14,81635,0
PRSRU.US,D,20210204,000000,11.25,11.35,11.15,11.15,254673,0
PRSRU.US,D,20210205,000000,11.33,11.4,11.05,11.19,133334,0
PRSRU.US,D,20210208,000000,11.33,11.37,11.09,11.2,156661,0
PRSRU.US,D,20210209,000000,11.2,11.38,11,11.04,228679,0
PRSRU.US,D,20210210,000000,11.25,11.27,10.8901,10.99,543196,0
PRSRU.US,D,20210211,000000,11.16,11.24,11.06,11.1,183462,0
PRSRU.US,D,20210212,000000,11.2,11.3,11.1,11.1,153852,0
PRSRU.US,D,20210216,000000,11.4,11.52,11.27,11.4075,173693,0
PRSRU.US,D,20210217,000000,11.47,11.5,11.287,11.3,74361,0
PRSRU.US,D,20210218,000000,11.4,11.4,11.2,11.24,76322,0
PRSRU.US,D,20210219,000000,11.3,11.4,11.11,11.18,876813,0
PRSRU.US,D,20210222,000000,11.29,12.1299,11.25,11.83,379721,0
PRSRU.US,D,20210223,000000,11.5,11.67,11,11.54,184757,0
PRSRU.US,D,20210224,000000,11.63,11.63,11.05,11.05,182961,0
PRSRU.US,D,20210225,000000,11.25,11.37,10.65,10.65,261730,0
PRSRU.US,D,20210226,000000,10.85,10.9799,10.65,10.8,196526,0
PRSRU.US,D,20210301,000000,11,11.12,10.7796,10.94,239305,0
PRSRU.US,D,20210302,000000,11,11,10.5,10.58,270988,0
PRSRU.US,D,20210303,000000,10.65,10.89,10.41,10.47,225161,0
PRSRU.US,D,20210304,000000,10.5,10.5199,10.16,10.344,239807,0
PRSRU.US,D,20210305,000000,10.36,10.5,10.2,10.3,139683,0
PRSRU.US,D,20210308,000000,10.51,10.5626,10.2,10.26,99240,0
PRSRU.US,D,20210309,000000,10.36,10.4,10.25,10.26,58539,0
PRSRU.US,D,20210310,000000,10.4,10.47,10.32,10.33,159535,0
PRSRU.US,D,20210311,000000,10.4,10.51,10.3527,10.45,48079,0
PRSRU.US,D,20210312,000000,10.48,10.48,10.31,10.3101,17256,0
PRSRU.US,D,20210315,000000,10.39,10.4547,10.27,10.31,44817,0
PRSRU.US,D,20210316,000000,10.38,10.38,10.2,10.25,136764,0
PRSRU.US,D,20210317,000000,10.23,10.347,10.2,10.25,55740,0
PRSRU.US,D,20210318,000000,10.24,10.34,10.2,10.24,71844,0
PRSRU.US,D,20210319,000000,10.24,10.3158,10.1601,10.19,51768,0
PRSRU.US,D,20210322,000000,10.37,10.37,10.13,10.17,36967,0
PRSRU.US,D,20210323,000000,10.2991,10.2991,10.01,10.02,49708,0
PRSRU.US,D,20210324,000000,10.08,10.105,9.95,9.97,64454,0
PRSRU.US,D,20210325,000000,9.91,10.08,9.9,10.02,15848,0
PRSRU.US,D,20210326,000000,10.02,10.13,10.02,10.09,30883,0
PRSRU.US,D,20210329,000000,10.09,10.13,10.03,10.07,20144,0
PRSRU.US,D,20210330,000000,10.06,10.102,10.0302,10.05,29824,0
PRSRU.US,D,20210331,000000,10.11,10.11,10.03,10.07,10932,0
PRSRU.US,D,20210401,000000,10.03,10.1,10.03,10.0999,15279,0
PRSRU.US,D,20210405,000000,10.2,10.2,9.98,10.02,105164,0
PRSRU.US,D,20210406,000000,10.09,10.1483,10.02,10.14,30003,0
PRSRU.US,D,20210407,000000,10.19,10.1923,10.03,10.11,177249,0
PRSRU.US,D,20210408,000000,10.06,10.12,10.0201,10.11,144154,0
PRSRU.US,D,20210409,000000,10.15,10.18,10.11,10.16,9019,0
PRSRU.US,D,20210412,000000,10.16,10.1999,10.112,10.12,12748,0
PRSRU.US,D,20210413,000000,10.06,10.19,10.06,10.13,19286,0
PRSRU.US,D,20210414,000000,10.07,10.21,10.07,10.13,28378,0
PRSRU.US,D,20210415,000000,10.13,10.24,10.11,10.24,25586,0
PRSRU.US,D,20210416,000000,10.18,10.2225,10.12,10.18,9444,0
PRSRU.US,D,20210419,000000,10.18,10.18,10.11,10.11,11060,0
PRSRU.US,D,20210420,000000,10.1,10.1546,10.08,10.08,31353,0
PRSRU.US,D,20210421,000000,10.06,10.13,10.06,10.09,16659,0
PRSRU.US,D,20210422,000000,10.09,10.13,10.09,10.13,5362,0
