<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TETCW.US,D,20210517,000000,0.72,0.72,0.7199,0.7199,1000,0
TETCW.US,D,20210518,000000,0.692,0.7205,0.692,0.700001,2800,0
TETCW.US,D,20210519,000000,0.72,0.72,0.72,0.72,200,0
TETCW.US,D,20210520,000000,0.7,0.7,0.6999,0.6999,278,0
TETCW.US,D,20210521,000000,0.72,0.73,0.719899,0.73,34467,0
TETCW.US,D,20210524,000000,0.72,1.44,0.72,0.75,91680,0
TETCW.US,D,20210525,000000,0.75,0.75,0.67,0.740501,8998,0
TETCW.US,D,20210527,000000,0.9,0.9,0.769613,0.77,20172,0
TETCW.US,D,20210528,000000,0.8002,0.8002,0.790301,0.8,18353,0
TETCW.US,D,20210601,000000,0.8001,0.800101,0.7901,0.7901,43058,0
TETCW.US,D,20210602,000000,0.7904,0.8,0.79,0.8,9782,0
TETCW.US,D,20210603,000000,0.8,0.8,0.764,0.7641,21440,0
TETCW.US,D,20210604,000000,0.780101,0.8,0.78,0.7998,11101,0
TETCW.US,D,20210608,000000,0.8,0.8,0.75,0.79,24826,0
TETCW.US,D,20210609,000000,0.7501,0.8,0.75,0.76,10979,0
TETCW.US,D,20210610,000000,0.76,0.802257,0.75515,0.802257,33636,0
TETCW.US,D,20210611,000000,0.77,0.9,0.7501,0.8526,275892,0
TETCW.US,D,20210614,000000,0.903949,0.95,0.82,0.87,13110,0
TETCW.US,D,20210615,000000,0.94,1.05,0.8502,0.8502,54349,0
TETCW.US,D,20210616,000000,0.875,0.88,0.84727,0.88,19730,0
TETCW.US,D,20210617,000000,0.9301,0.9301,0.9301,0.9301,668,0
TETCW.US,D,20210618,000000,0.95,0.9896,0.95,0.96,3450,0
TETCW.US,D,20210621,000000,0.93,0.96,0.92995,0.94,11569,0
TETCW.US,D,20210622,000000,0.94,0.95,0.88,0.9499,17824,0
TETCW.US,D,20210623,000000,0.95,0.95,0.92,0.92,2587,0
TETCW.US,D,20210624,000000,0.9899,0.99,0.9899,0.99,1140,0
TETCW.US,D,20210625,000000,0.9899,0.9899,0.92,0.92,757,0
TETCW.US,D,20210628,000000,0.9898,1.08,0.9898,1,39415,0
TETCW.US,D,20210629,000000,1.05,1.06,1.01,1.01,7159,0
TETCW.US,D,20210630,000000,1.01,1.01,1,1,44103,0
TETCW.US,D,20210701,000000,1.06,1.1,1,1,13594,0
TETCW.US,D,20210702,000000,1.08,1.11,1.04,1.04,4543,0
TETCW.US,D,20210706,000000,1.02,1.03,0.9803,0.99,26261,0
TETCW.US,D,20210707,000000,1.01,1.01,1.01,1.01,343,0
TETCW.US,D,20210708,000000,1.01,1.0101,1,1.01,19897,0
TETCW.US,D,20210709,000000,1.0201,1.03,1.02,1.03,3987,0
